Name,Phase,Transition type,sigmap_000,sigmap_001,sigmap_002,sigmap_003,sigmap_004,sigmap_005,sigmap_006,sigmap_007,sigmap_008,sigmap_009,sigmap_010,sigmap_011,sigmap_012,sigmap_013,sigmap_014,sigmap_015,sigmap_016,sigmap_017,sigmap_018,sigmap_019,sigmap_020,sigmap_021,sigmap_022,sigmap_023,sigmap_024,sigmap_025,sigmap_026,sigmap_027,sigmap_028,sigmap_029,sigmap_030,sigmap_031,sigmap_032,sigmap_033,sigmap_034,sigmap_035,sigmap_036,sigmap_037,sigmap_038,sigmap_039,sigmap_040,sigmap_041,sigmap_042,sigmap_043,sigmap_044,sigmap_045,sigmap_046,sigmap_047,sigmap_048,sigmap_049,sigmap_050,sigmap_051,sigmap_052,sigmap_053,sigmap_054,sigmap_055,sigmap_056,sigmap_057,sigmap_058,sigmap_059
PR07117,N,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1478776852027732,0.7785997965395568,2.419829530500522,4.703765665102058,7.2349077716240515,11.389383420310631,15.821099105115245,19.00314918055929,22.71718649584911,36.89913787755533,47.25592739486247,49.23347685377853,45.79516815619069,37.11869740343131,22.595859922486937,17.487370854231944,15.88648856754612,10.700342900719477,5.534288484288419,3.045094133569476,3.302887138547423,3.645791147652394,3.447296490612904,3.0311082350684777,2.7221740390733458,2.173471046705031,1.1671888156818429,0.0216220410693545,0.0004239615895951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06121KW,N,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0421572579218366,0.3934677406038063,3.88629766266281,9.10249131317375,16.388167089121175,24.61257352605621,30.66922442417989,30.077691540006526,27.37512944888257,26.58878476408633,25.79127501708549,24.344706705595296,24.078235468292675,25.51256109293826,15.50242787455012,13.40376659414454,10.706327404360264,10.699432692735908,9.592755394084062,5.156750503525389,3.6754109765734855,3.4612985163655914,3.158665669242451,2.8913088873869173,2.4514205413728094,1.5131893768288052,0.175226176645404,0.0034358073852037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06129KW,N,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401559437497115,0.3747888083306386,3.857048979388942,8.632248219542682,15.424873691236971,23.94065431266961,32.529787346995725,38.16366771793446,31.97708067345303,28.534216319607985,27.95233728106708,27.12901521283868,26.278745765640217,26.527230803758545,15.894371993404183,13.972453327263484,11.388124026441368,11.002086191285656,10.10164503729271,6.443638685346711,3.7112115400034416,3.430065148845452,3.142724293395886,2.897433285979228,2.4676956278982694,1.52946013126455,0.1879938106071017,0.0036861531491585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06128KW,N,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378895683070615,0.3536359708659053,3.806647665449265,8.346845093958178,14.892436105269994,22.439528708164307,30.33246595912817,40.37867756579913,41.03928376168629,35.410256067508385,31.831755086828704,29.748366597391275,28.264731845701643,26.54601433733916,16.185119922225766,13.79568220839551,11.936017791757951,11.46123005147045,10.245583962478392,6.819370395297487,3.690529520276165,3.426053980330949,3.151339367499457,2.908208353798881,2.47636120877356,1.5357138814306142,0.1912486452716552,0.0037499734366988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06115KW,N,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0359897310169366,0.3359041561580727,3.743593889200445,8.31808591102486,14.707153899717833,21.918743973831145,29.19167259680505,38.14709202990022,47.79799227381182,44.04360874819933,37.435169212785134,33.14883315250851,31.010562064110506,26.831464032436863,16.51445624494071,13.737558513577737,12.381989825091887,11.809389233103564,10.305223333618953,7.002130036854416,3.647986042851105,3.4204605818929554,3.163433972208824,2.9239211303952795,2.4853791043101534,1.5359669279367487,0.1892228692143778,0.0037102523375365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06119KW,N,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0372029258276085,0.3472273077243439,3.7678736849213794,8.297733582680982,14.472396216781592,21.44209535341656,28.603432952291413,37.56290533758966,49.403171107127065,52.36923990569085,44.57076424490354,37.18213654914307,33.922249223075326,28.27435934883233,16.663345175646683,13.593935612249595,12.292102049767378,11.73715440524808,10.275321153242876,7.110406887134189,3.730763692954945,3.420131270973147,3.142983969937544,2.911240576930048,2.486654250906464,1.545808804226188,0.1990684377112648,0.0039033027002205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06120KW,N,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375512378243311,0.3504782196937549,3.830146820732885,8.42013978139028,14.416235661759211,21.235530348085074,28.363165415792555,36.742112346176,50.53238321862528,58.62640760066738,51.78486647471729,42.40397157563528,36.88797762219535,29.938628164225182,16.636782961689892,13.613941176552496,12.114368646263443,11.822949863874143,10.543519398518455,7.006064843164239,3.487035816979428,3.5154870007404413,3.237987790811689,2.9099654640187547,2.4585603703692334,1.5477306292128437,0.1845798446383503,0.0036192126399673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07007KW,N,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033183058665144,0.3097085475413422,3.713256158564774,8.241316864067228,14.371075835614054,21.19135938323101,28.037570243739783,36.72749879053013,54.55318748051715,78.28233518493022,73.89451248976803,57.00076833757643,44.54840659709684,36.94442618878063,16.522509574679265,13.773028525978754,12.37679531285358,11.85536820824921,10.525317009844382,7.238519483207535,3.563384344210347,3.472758490981433,3.1982963104986752,2.923158658720902,2.484859500877618,1.5517192886217277,0.1921737332687904,0.0037681124170348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ01056,N,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0931977851599723,0.4358815964879042,1.152273861993382,1.0847899181206189,0.965990139041363,0.92722227338941,0.9228577981232248,0.8760516017806617,0.8205384298656749,1.2075407455592575,4.785905442646117,9.38371287824977,15.27084754979629,19.66819725779599,21.579776439441545,26.47781512756564,29.05801445651856,29.023467654743904,28.810423309793155,27.33260971651456,26.05383366311743,26.312871329336406,15.3923112973193,12.95261409164923,10.882090740168818,7.284144841609651,4.715653269225659,4.903466916277329,4.875726486333668,5.222794219150392,4.910093203547693,4.527445158562183,3.732383538958037,2.164749893210861,0.1917718454385739,0.0037602322635011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MJ01064,N,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595526892187235,0.3426362105074386,1.114525056549379,1.0701548715161684,1.0249277630770643,0.9273366435256332,0.8344923589449013,0.851274490843596,1.0366214633705224,1.1687583620057622,4.698267993912029,9.41055344883778,15.465997016024716,20.00010235708893,22.224366020567324,28.41280167041373,36.15926256764496,34.57227670263903,31.876225823465795,28.99456779775817,27.073892832899624,26.38989868155843,15.814942109519883,13.63972035433208,11.085010296373497,7.539668337294111,5.005856344419033,4.848752266133546,5.463007731445866,5.399759807842502,5.055863929720844,4.681927541542732,4.078967510811159,2.609624872992472,0.2702907650766614,0.0052998189230714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
