Name,Phase,Transition type,transition_temp,SMILES,Refs
PR07117,N,2,51.0,CCCCCc1ccc(-c2ccc(C#N)cc2F)cc1,10.1021/cm1011058
06121KW,N,2,16.0,N#Cc1ccc(-c2ccc(CCCF)cc2)cc1,10.1080/02678292.2019.1616228
06129KW,N,2,36.0,N#Cc1ccc(-c2ccc(CCCCF)cc2)cc1,10.1080/02678292.2019.1616228
06128KW,N,2,28.0,N#Cc1ccc(-c2ccc(CCCCCF)cc2)cc1,10.1080/02678292.2019.1616228
06115KW,N,2,32.0,N#Cc1ccc(-c2ccc(CCCCCCF)cc2)cc1,10.1080/02678292.2019.1616228
06119KW,N,2,35.0,N#Cc1ccc(-c2ccc(CCCCCCCF)cc2)cc1,10.1080/02678292.2019.1616228
06120KW,N,2,19.0,N#Cc1ccc(-c2ccc(CCCCCCCCF)cc2)cc1,10.1080/02678292.2019.1616228
07007KW,N,2,44.0,N#Cc1ccc(-c2ccc(CCCCCCCCCCCF)cc2)cc1,10.1080/02678292.2019.1616228
MJ01056,N,2,105.0,N#Cc1ccc(-c2ccc(CCCO)cc2)cc1,10.1080/02678292.2018.1502373
MJ01064,N,2,72.0,N#Cc1ccc(-c2ccc(CCCCO)cc2)cc1,10.1080/02678292.2018.1502373
MJ01071,N,2,84.0,N#Cc1ccc(-c2ccc(CCCCCO)cc2)cc1,10.1080/02678292.2018.1502373
MJ01077,N,2,68.0,N#Cc1ccc(-c2ccc(CCCCCCO)cc2)cc1,10.1080/02678292.2018.1502373
MJ01073,N,2,78.0,N#Cc1ccc(-c2ccc(CCCCCCCO)cc2)cc1,10.1080/02678292.2018.1502373
MJ01075,N,2,69.0,N#Cc1ccc(-c2ccc(CCCCCCCCO)cc2)cc1,10.1080/02678292.2018.1502373
MJ01066,N,2,73.0,N#Cc1ccc(-c2ccc(CCCCCCCCCCCO)cc2)cc1,10.1080/02678292.2018.1502373
MJ01041,N,2,132.0,N#Cc1ccc(-c2ccc(C#CCCCO)cc2)cc1,10.1080/02678292.2018.1502373
RT08062,N,2,88.0,N#Cc1ccc(-c2ccc(C#CCCCCO)cc2)cc1,10.1080/02678292.2018.1502373
RT08050,N,2,91.0,N#Cc1ccc(-c2ccc(C#CCCCCCO)cc2)cc1,10.1080/02678292.2018.1502373
RT08049,N,2,77.0,N#Cc1ccc(-c2ccc(C#CCCCCCCO)cc2)cc1,10.1080/02678292.2018.1502373
07031KW,N,2,35.0,N#CCCCCCCc1ccc(-c2ccc(C#N)cc2)cc1,10.1080/02678292.2019.1662116
PR10004,N,2,60.5,N#Cc1ccc(-c2ccc(OCCCCCCF)cc2)cc1,10.1080/02678292.2019.1616228
01031MR,N,2,51.7,N#Cc1ccc(-c2ccc(OCCCCCc3c(F)c(F)c(F)c(F)c3F)cc2)cc1,10.1080/02678292.2020.1810792
08141KW,N,2,40.9,N#Cc1ccc(-c2ccc(CCOc3c(F)c(F)cc(F)c3F)cc2)cc1,10.1080/02678292.2020.1810792
PR09089,N,2,53.0,N#Cc1ccc(-c2ccc(OCCCF)cc2)cc1,10.1080/02678292.2019.1616228
06107KW,N,2,67.0,N#Cc1ccc(-c2ccc(OCCCCCCCF)cc2)cc1,10.1080/02678292.2019.1616228
06101KW,N,2,70.0,N#Cc1ccc(-c2ccc(OCCCCCCCCF)cc2)cc1,10.1080/02678292.2019.1616228
06100KW,N,2,67.0,N#Cc1ccc(-c2ccc(OCCCCCCCCCF)cc2)cc1,10.1080/02678292.2019.1616228
07094KW,N,2,67.0,N#Cc1ccc(-c2ccc(OCCCCCCCCCCF)cc2)cc1,10.1080/02678292.2019.1616228
07088KW,N,2,68.7,N#Cc1ccc(-c2ccc(OCCCCCCCCCCCF)cc2)cc1,10.1080/02678292.2019.1616228
07099KW,N,2,68.2,N#CCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,10.1080/02678292.2019.1616228
AF01009,N,2,70.5,N#Cc1ccc(-c2ccc(OCCF)cc2)cc1,10.1080/02678292.2019.1616228
RT09068,N,2,79.0,N#CCCCOc1ccc(-c2ccc(C#N)cc2)cc1,10.1080/02678292.2019.1662116
06131KW,N,2,61.2,N#CCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,10.1080/02678292.2019.1662116
07004KW,N,2,75.6,N#CCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,10.1080/02678292.2019.1662116
07056KW,N,2,47.7,N#Cc1ccc(-c2ccc(OCCCCCCOc3c(F)c(F)c(F)c(F)c3F)cc2)cc1,10.1080/02678292.2020.1810792
07080KW,N,2,62.9,N#Cc1ccc(-c2ccc(OCCCCCCOc3c(F)c(F)c(C#N)c(F)c3F)cc2)cc1,10.1080/02678292.2020.1810792
07129KW,N,2,92.7,N#Cc1ccc(-c2ccc(OCCCCCCOc3c(F)c(F)cc(F)c3F)cc2)cc1,10.1080/02678292.2020.1810792
08116KW,N,2,73.0,N#Cc1ccc(-c2ccc(OCCCCCCO)c(F)c2)cc1,10.1080/02678292.2020.1810792
08117KW,N,2,62.96,N#Cc1ccc(-c2ccc(OCCCCCCO)cc2F)cc1,10.1080/02678292.2020.1810792
08118KW,N,2,17.6,N#Cc1ccc(-c2ccc(OCCCCCCOc3c(F)c(F)c(F)c(F)c3F)cc2)cc1F,10.1080/02678292.2020.1810792
08119KW,N,2,34.26,N#Cc1ccc(-c2ccc(OCCCCCCOc3c(F)c(F)c(F)c(F)c3F)c(F)c2)cc1,10.1080/02678292.2020.1810792
08123KW,N,2,20.92,N#Cc1ccc(-c2ccc(OCCCCCCOc3c(F)c(F)c(F)c(F)c3F)cc2F)cc1,10.1080/02678292.2020.1810792
08125KW,N,2,30.23,N#Cc1ccc(-c2ccc(OCCCCCCOc3c(F)c(F)cc(F)c3F)cc2)cc1F,10.1080/02678292.2020.1810792
08128KW,N,2,93.0,C=Cc1c(F)c(F)c(OCCCCCCOc2ccc(-c3ccc(C#N)c(F)c3)cc2)c(F)c1F,10.1080/02678292.2020.1810792
08131KW,N,2,68.23,C=Cc1c(F)c(F)c(OCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2F)c(F)c1F,10.1080/02678292.2020.1810792
09079KW,N,2,98.8,N#Cc1ccc(-c2ccc(OCCCCCCOc3c(F)c(F)c(-c4ccccc4)c(F)c3F)cc2)cc1,10.1080/02678292.2020.1810792
09078KW,N,2,155.6,N#Cc1ccc(-c2ccc(OCCCCCCOc3c(F)c(F)c(-c4ccc(C#N)cc4)c(F)c3F)cc2)cc1,10.1080/02678292.2020.1810792
07038KW,N,2,269.0,N#CCCCCOc1ccc(-c2ccc(-c3ccc(C#N)cc3)cc2)cc1,10.1080/02678292.2019.1662116
