index,element,charge
0,H,0.147726
1,C,-0.181535
2,C,-0.091796
3,H,0.123703
4,C,-0.113146
5,C,0.179586
6,C,-0.194679
7,H,0.130126
8,C,-0.167864
9,H,0.13429
10,C,0.06453
11,C,-0.090952
12,H,0.032528
13,H,0.034478
14,C,0.098126
15,H,-0.009742
16,H,-0.008547
17,C,-0.066202
18,H,0.013835
19,H,0.013571
20,C,0.189222
21,H,-0.036238
22,H,-0.035322
23,C,-0.232319
24,H,0.047374
25,H,0.047776
26,H,0.052874
27,C,-0.141938
28,H,0.129624
29,C,-0.213707
30,H,0.139415
31,C,0.342196
32,F,-0.169634
33,C,-0.290622
34,H,0.182494
35,C,0.011399
36,C,0.361445
37,N,-0.432073
