index,element,charge
0,H,0.387029
1,O,-0.619067
2,C,0.250093
3,H,-0.035888
4,H,-0.036052
5,C,0.100443
6,H,0.002208
7,H,0.001471
8,C,-0.070108
9,H,0.002974
10,H,0.001987
11,C,0.035914
12,H,-0.018084
13,H,-0.017606
14,C,0.043414
15,H,-0.012516
16,H,-0.013114
17,C,0.131965
18,H,-0.017615
19,H,-0.018374
20,C,-0.195435
21,H,0.052636
22,H,0.053487
23,C,0.157556
24,C,-0.205599
25,H,0.139958
26,C,-0.147038
27,H,0.119766
28,C,0.046715
29,C,0.123817
30,C,-0.154113
31,H,0.120479
32,C,-0.111848
33,H,0.133843
34,C,-0.038352
35,C,0.351978
36,N,-0.436967
37,C,-0.115564
38,H,0.136861
39,C,-0.159978
40,H,0.125823
41,C,-0.154736
42,H,0.120501
43,C,-0.200926
44,H,0.138062
