index,element,charge
0,H,0.381248
1,O,-0.585383
2,C,0.21443
3,H,-0.009349
4,H,-0.022406
5,C,-0.127256
6,H,0.057005
7,H,0.016642
8,C,0.207535
9,H,-0.019033
10,H,-0.014857
11,C,-0.206124
12,H,0.041099
13,H,0.043947
14,C,0.02775
15,H,0.025477
16,H,0.016799
17,C,0.021961
18,H,0.060731
19,H,0.055084
20,C,-0.054562
21,C,-0.312135
22,C,0.356471
23,C,-0.235771
24,H,0.151132
25,C,-0.118481
26,H,0.119878
27,C,-0.006703
28,C,0.151333
29,C,-0.167486
30,H,0.126396
31,C,-0.115722
32,H,0.136881
33,C,-0.027066
34,C,0.346312
35,N,-0.434216
36,C,-0.123511
37,H,0.138976
38,C,-0.159318
39,H,0.126816
40,C,-0.128679
41,H,0.118526
42,C,-0.216874
43,H,0.142503
