index,element,charge
0,H,0.136891
1,C,-0.116291
2,C,-0.167883
3,H,0.122789
4,C,0.17601
5,C,-0.117221
6,C,-0.067797
7,H,0.11998
8,C,-0.29758
9,H,0.118928
10,C,0.458319
11,O,-0.408191
12,C,0.350185
13,H,-0.020842
14,H,-0.01474
15,C,-0.203746
16,H,0.060558
17,H,0.063416
18,C,0.118386
19,H,-0.004558
20,H,-0.015732
21,C,-0.04516
22,H,0.040125
23,H,0.019072
24,C,-0.071615
25,H,0.070052
26,H,0.080694
27,C,-0.193344
28,C,0.184431
29,F,-0.110303
30,C,0.051389
31,F,-0.090994
32,C,0.100034
33,F,-0.083899
34,C,0.078212
35,F,-0.093286
36,C,0.134475
37,F,-0.112606
38,C,-0.349327
39,H,0.16465
40,C,-0.019468
41,H,0.104062
42,C,-0.16048
43,H,0.123477
44,C,-0.123242
45,H,0.137918
46,C,-0.040572
47,C,0.353758
48,N,-0.438931
