index,element,charge
0,H,0.137268
1,C,-0.122164
2,C,-0.152598
3,H,0.123034
4,C,0.132217
5,C,0.011632
6,C,-0.135545
7,H,0.115862
8,C,-0.162649
9,H,0.120238
10,C,0.125701
11,C,-0.055709
12,C,-0.104529
13,H,0.119755
14,C,-0.247154
15,H,0.114333
16,C,0.353386
17,O,-0.315586
18,C,0.226311
19,H,0.00878
20,H,0.009283
21,C,-0.161278
22,H,0.057986
23,H,0.035892
24,C,0.093138
25,H,-0.007009
26,H,-0.011425
27,C,-0.064635
28,H,0.037018
29,H,0.034985
30,C,0.180728
31,H,0.014398
32,H,0.021894
33,F,-0.244907
34,C,-0.316145
35,H,0.158513
36,C,-0.0467
37,H,0.108235
38,C,-0.166759
39,H,0.120843
40,C,-0.129948
41,H,0.115413
42,C,-0.156124
43,H,0.123661
44,C,-0.119118
45,H,0.137527
46,C,-0.03162
47,C,0.350735
48,N,-0.437166
