index,element,charge
0,H,0.409552
1,O,-0.564857
2,C,0.659823
3,O,-0.519487
4,C,-0.161256
5,C,-0.071647
6,H,0.142286
7,C,-0.303288
8,H,0.114083
9,C,0.504985
10,O,-0.430241
11,C,0.310248
12,H,-0.010852
13,H,-0.010538
14,C,-0.062231
15,H,0.032648
16,H,0.032713
17,C,0.021951
18,H,-0.015173
19,H,-0.014458
20,C,0.032749
21,H,-0.01662
22,H,-0.015856
23,C,0.009296
24,H,-0.004185
25,H,-0.004844
26,C,0.181615
27,H,-0.034094
28,H,-0.034563
29,C,-0.25849
30,H,0.05458
31,H,0.054658
32,H,0.056294
33,C,-0.353464
34,H,0.164683
35,C,-0.01946
36,H,0.12344
