index,element,charge
0,H,0.138187
1,C,-0.124604
2,C,-0.156066
3,H,0.124047
4,C,0.126924
5,C,-8.8e-05
6,C,-0.082093
7,H,0.107022
8,C,-0.255449
9,H,0.128817
10,C,0.202622
11,C,-0.252921
12,H,0.067675
13,H,0.076753
14,C,0.102482
15,H,-0.015738
16,H,-0.011526
17,C,0.123809
18,H,-0.022491
19,H,-0.005237
20,C,-0.17206
21,H,0.022024
22,H,0.020011
23,C,0.089075
24,H,-0.02252
25,H,-0.023362
26,C,0.207207
27,H,-0.039038
28,H,-0.040932
29,C,-0.294115
30,H,0.060711
31,H,0.062281
32,H,0.063737
33,C,-0.190138
34,H,0.129595
35,C,-0.135102
36,H,0.113134
37,C,-0.146845
38,H,0.124443
39,C,-0.131234
40,H,0.138431
41,C,-0.015953
42,C,0.341456
43,N,-0.43293
