index,element,charge
0,H,0.136327
1,C,-0.11805
2,C,-0.171366
3,H,0.124954
4,C,0.180672
5,C,-0.120651
6,C,-0.068609
7,H,0.118784
8,C,-0.308363
9,H,0.119021
10,C,0.495937
11,O,-0.436322
12,C,0.331759
13,H,-0.018896
14,H,-0.017452
15,C,-0.069764
16,H,0.032253
17,H,0.032714
18,C,0.031496
19,H,-0.017921
20,H,-0.016996
21,C,0.027758
22,H,-0.015732
23,H,-0.015002
24,C,0.013677
25,H,-0.005973
26,H,-0.006474
27,C,0.184983
28,H,-0.035552
29,H,-0.036403
30,C,-0.259836
31,H,0.055106
32,H,0.054763
33,H,0.057218
34,C,-0.363064
35,H,0.167816
36,C,-0.017766
37,H,0.10566
38,C,-0.165351
39,H,0.123758
40,C,-0.122641
41,H,0.137616
42,C,-0.034367
43,C,0.349388
44,N,-0.439108
