index,element,charge
0,H,0.126347
1,C,-0.069786
2,C,-0.065686
3,C,0.342512
4,N,-0.433524
5,C,-0.048276
6,H,0.121886
7,C,-0.264941
8,H,0.153791
9,C,0.112288
10,C,0.013442
11,H,0.034802
12,C,0.081911
13,H,0.001808
14,H,-0.00185
15,C,-0.220241
16,H,0.038339
17,H,0.052488
18,C,0.177902
19,H,-0.022308
20,C,-0.071505
21,H,0.021135
22,H,0.041383
23,C,0.124628
24,H,-0.001639
25,H,-0.014977
26,C,-0.273853
27,H,0.06419
28,H,0.057486
29,H,0.065334
30,C,-0.215904
31,H,0.048715
32,H,0.052353
33,C,0.039908
34,H,0.014648
35,H,-0.0065
36,C,-0.189886
37,H,0.113579
