index,element,charge
0,H,0.064825
1,C,-0.297787
2,H,0.061883
3,H,0.06029
4,C,0.204722
5,H,-0.039879
6,H,-0.037405
7,C,0.07993
8,H,-0.021498
9,H,-0.023095
10,C,-0.139967
11,H,0.010126
12,H,0.009977
13,C,0.155697
14,H,-0.035126
15,H,-0.033295
16,C,0.113168
17,H,-0.027742
18,H,-0.01664
19,C,-0.329101
20,H,0.056723
21,H,0.054515
22,C,0.267057
23,H,-0.024547
24,C,-0.054255
25,H,0.008615
26,H,0.013359
27,C,-0.122718
28,H,0.015035
29,H,0.040854
30,C,0.001167
31,H,0.018311
32,C,0.17093
33,H,0.004755
34,C,-0.089468
35,H,0.086482
36,H,0.054783
37,C,-0.197366
38,H,0.065122
39,H,0.073479
40,C,0.022895
41,H,0.0542
42,C,0.324653
43,N,-0.458279
44,C,-0.086874
45,H,0.043812
46,H,0.047223
47,C,-0.145929
48,H,0.034403
49,H,0.072895
50,C,-0.238362
51,H,0.061449
52,H,0.063347
53,C,-0.004916
54,H,0.010375
55,H,-0.002809
