index,element,charge
0,H,0.058761
1,C,0.093999
2,C,-0.472139
3,H,0.170312
4,C,0.169918
5,H,0.027727
6,C,0.010072
7,H,0.013336
8,H,0.008279
9,C,-0.147814
10,H,0.018908
11,H,0.044364
12,C,0.001833
13,H,0.021016
14,C,0.15533
15,H,0.010258
16,C,-0.097658
17,H,0.093367
18,H,0.061147
19,C,-0.207017
20,H,0.069706
21,H,0.076277
22,C,0.023529
23,H,0.056763
24,C,0.322905
25,N,-0.456126
26,C,-0.098206
27,H,0.047048
28,H,0.050546
29,C,-0.129865
30,H,0.031667
31,H,0.069794
32,C,-0.216721
33,H,0.051307
34,H,0.058377
35,C,0.049947
36,H,0.006281
37,H,-0.018678
38,C,-0.275617
39,H,0.080968
40,H,0.083126
41,H,0.082973
