index,element,charge
0,H,0.054263
1,C,0.346731
2,N,-0.681206
3,C,0.972191
4,C,-0.452929
5,C,0.072411
6,H,0.083827
7,C,-0.324398
8,H,0.122131
9,C,0.441789
10,O,-0.327866
11,C,0.178755
12,H,0.023486
13,H,0.014883
14,C,-0.183952
15,H,0.06151
16,H,0.037433
17,C,0.225259
18,H,-0.035791
19,H,-0.034915
20,C,-0.119909
21,H,0.013589
22,H,0.013149
23,C,0.023604
24,H,-0.014597
25,H,-0.0066
26,C,0.229176
27,H,-0.043752
28,H,-0.047092
29,C,-0.278821
30,H,0.057897
31,H,0.056926
32,H,0.057364
33,C,-0.392488
34,H,0.162109
35,C,0.133232
36,H,0.070315
37,N,-0.684598
38,C,0.342863
39,H,0.061008
40,C,-0.315228
41,C,-0.109225
42,H,0.052633
43,H,0.050609
44,C,0.189228
45,H,-0.026051
46,H,-0.031478
47,C,-0.087712
48,H,0.007108
49,H,0.007334
50,C,0.01777
51,H,-0.006903
52,H,-0.006118
53,C,0.212447
54,H,-0.040346
55,H,-0.040188
56,C,-0.274812
57,H,0.057188
58,H,0.058543
59,H,0.058213
