index,element,charge
0,H,-0.01919
1,C,0.336842
2,N,-0.49305
3,C,0.421163
4,C,-0.240103
5,H,0.133155
6,C,-0.221141
7,H,0.146673
8,C,0.123368
9,C,-0.229268
10,H,0.058007
11,H,0.060891
12,C,0.122986
13,H,-0.00618
14,H,-0.008721
15,C,0.144728
16,H,-0.024201
17,H,-0.025462
18,C,-0.281789
19,H,0.058083
20,H,0.058238
21,H,0.067259
22,C,-0.163826
23,H,0.134923
24,C,-0.29133
25,H,0.152061
26,C,-0.178246
27,C,0.036948
28,H,0.085133
29,C,-0.330358
30,H,0.140596
31,C,0.475596
32,O,-0.310046
33,C,-0.011694
34,H,0.056145
35,H,0.057345
36,H,0.088079
37,C,-0.371906
38,H,0.159329
39,C,-0.024187
40,H,0.113149
