index,element,charge
0,H,0.147845
1,C,-0.254424
2,C,-0.113939
3,H,0.121552
4,C,-0.010975
5,C,-0.066024
6,H,0.032926
7,H,0.03255
8,C,0.251632
9,H,-0.030596
10,H,-0.029389
11,C,-0.331271
12,H,0.071825
13,H,0.073004
14,H,0.073531
15,C,-0.140963
16,H,0.123997
17,C,-0.224656
18,H,0.132767
19,C,0.265216
20,C,-0.156561
21,C,-0.145368
22,H,0.126532
23,C,-0.140644
24,H,0.126726
25,C,-0.171585
26,C,0.276261
27,C,-0.234178
28,H,0.136137
29,C,-0.140105
30,H,0.125137
31,C,-0.013306
32,C,-0.06771
33,H,0.032782
34,H,0.034823
35,C,0.247979
36,H,-0.029046
37,H,-0.028803
38,C,-0.329567
39,H,0.072629
40,H,0.07096
41,H,0.074256
42,C,-0.110752
43,H,0.120249
44,C,-0.254157
45,H,0.146228
46,C,0.203245
47,F,-0.145334
48,C,0.192976
49,F,-0.144413
