index,element,charge
0,H,0.139345
1,C,-0.137417
2,C,-0.124295
3,H,0.115098
4,C,0.088419
5,C,-0.01147
6,C,-0.050573
7,H,0.098215
8,C,-0.274028
9,H,0.152506
10,C,0.042873
11,C,0.083975
12,H,0.017163
13,C,0.06425
14,H,0.00609
15,H,-0.000444
16,C,-0.220845
17,H,0.036186
18,H,0.042944
19,C,0.255424
20,H,-0.034841
21,C,0.015983
22,H,-0.002079
23,H,0.017992
24,C,-0.156014
25,H,0.03836
26,H,0.025422
27,C,0.046334
28,H,-0.005606
29,H,-0.01737
30,C,0.219068
31,H,-0.044414
32,H,-0.04405
33,C,-0.274899
34,H,0.054701
35,H,0.057926
36,H,0.058163
37,C,-0.295571
38,H,0.061428
39,H,0.061613
40,C,0.063281
41,H,0.011241
42,H,-0.015798
43,C,-0.187786
44,H,0.109802
45,C,-0.080625
46,H,0.104242
47,C,-0.120846
48,H,0.115016
49,C,-0.141509
50,H,0.140088
51,C,-0.010635
52,C,0.342727
53,N,-0.434761
