index,element,charge
0,H,0.127217
1,C,-0.218258
2,C,-0.117436
3,H,0.116686
4,C,-0.056421
5,C,0.133599
6,H,-0.01032
7,H,-0.009636
8,C,-0.107064
9,H,0.036605
10,H,0.037369
11,H,0.013547
12,C,-0.104365
13,H,0.116086
14,C,-0.226938
15,H,0.134846
16,C,0.226353
17,C,-0.216101
18,C,-0.048552
19,H,0.105738
20,C,-0.221193
21,H,0.112556
22,C,0.035366
23,C,0.146083
24,H,0.003377
25,C,0.053114
26,H,0.016109
27,H,-0.001351
28,C,-0.23036
29,H,0.039913
30,H,0.043366
31,C,0.261372
32,H,-0.036509
33,C,0.006652
34,H,-0.00101
35,H,0.015721
36,C,-0.145492
37,H,0.033058
38,H,0.022577
39,C,0.053614
40,H,-0.008104
41,H,-0.01534
42,C,0.204622
43,H,-0.040941
44,H,-0.04079
45,C,-0.274117
46,H,0.05502
47,H,0.057416
48,H,0.059612
49,C,-0.296372
50,H,0.061697
51,H,0.058851
52,C,0.054192
53,H,0.009431
54,H,-0.010935
55,C,-0.443491
56,H,0.188194
57,C,0.438023
58,F,-0.196884
