index,element,charge
0,H,0.139541
1,C,-0.206709
2,C,-0.189796
3,H,0.13279
4,C,0.099159
5,C,-0.123018
6,H,0.061147
7,H,0.039258
8,C,-0.132743
9,H,0.035351
10,H,0.031812
11,C,0.19281
12,H,0.029313
13,C,-0.018956
14,H,0.019407
15,H,0.020665
16,C,-0.23697
17,H,0.04307
18,H,0.060847
19,C,0.127454
20,H,-0.015273
21,C,-0.036848
22,H,0.011546
23,H,0.038352
24,C,0.121542
25,H,-0.00045
26,H,-0.016603
27,C,-0.26806
28,H,0.060825
29,H,0.052051
30,H,0.06133
31,C,-0.142723
32,H,0.036521
33,H,0.039218
34,C,-0.100267
35,H,0.027786
36,H,0.008108
37,C,-0.17607
38,H,0.131995
39,C,-0.207263
40,H,0.129276
41,C,0.20124
42,C,-0.120736
43,C,-0.128153
44,H,0.124603
45,C,-0.238029
46,H,0.14355
47,C,0.131968
48,C,-0.079216
49,H,0.030092
50,H,0.034427
51,C,0.074368
52,H,-0.006366
53,H,-0.008768
54,C,-0.044968
55,H,0.007863
56,H,0.007541
57,C,0.194856
58,H,-0.037814
59,H,-0.037643
60,C,-0.247172
61,H,0.050849
62,H,0.053082
63,H,0.053816
64,C,-0.351775
65,H,0.176379
66,C,0.315568
67,F,-0.178986
