index,element,charge
0,H,0.138411
1,C,-0.063523
2,C,-0.279596
3,H,0.160609
4,C,0.474904
5,O,-0.41445
6,C,0.68803
7,O,-0.470006
8,C,-0.20028
9,C,-0.004528
10,H,0.099929
11,C,-0.260478
12,H,0.15055
13,C,0.084766
14,C,0.045593
15,H,0.027388
16,C,0.074839
17,H,0.002838
18,H,-0.003339
19,C,-0.222754
20,H,0.039752
21,H,0.041672
22,C,0.270711
23,H,-0.041986
24,C,0.00774
25,H,-0.000628
26,H,0.018575
27,C,-0.142714
28,H,0.031658
29,H,0.02288
30,C,0.046617
31,H,-0.006816
32,H,-0.014857
33,C,0.207462
34,H,-0.041843
35,H,-0.040387
36,C,-0.273726
37,H,0.056586
38,H,0.05839
39,H,0.058128
40,C,-0.276199
41,H,0.056532
42,H,0.056662
43,C,0.059701
44,H,0.014565
45,H,-0.015576
46,C,-0.200585
47,H,0.108275
48,C,-0.011626
49,H,0.100422
50,C,-0.321732
51,H,0.184603
52,C,-0.031336
53,H,0.131955
54,C,-0.11134
55,C,0.366455
56,N,-0.436891
