index,element,charge
0,H,0.193251
1,C,-0.351087
2,C,-0.093814
3,H,0.124943
4,C,-0.051713
5,C,-0.058093
6,H,0.031872
7,H,0.03495
8,C,0.234282
9,H,-0.030028
10,H,-0.031236
11,C,-0.305763
12,H,0.066436
13,H,0.067026
14,H,0.066786
15,C,-0.066795
16,H,0.118626
17,C,-0.371285
18,H,0.174371
19,C,0.500336
20,O,-0.412518
21,C,0.695853
22,O,-0.49456
23,C,-0.196278
24,C,0.004618
25,H,0.094757
26,C,-0.287462
27,H,0.148432
28,C,0.099837
29,C,0.046874
30,H,0.026121
31,C,0.069726
32,H,0.004105
33,H,-0.002194
34,C,-0.212143
35,H,0.035405
36,H,0.049007
37,C,0.177167
38,H,-0.024734
39,C,-0.064257
40,H,0.019952
41,H,0.038421
42,C,0.117145
43,H,-0.000995
44,H,-0.01462
45,C,-0.26528
46,H,0.061514
47,H,0.054735
48,H,0.062556
49,C,-0.208066
50,H,0.043444
51,H,0.049543
52,C,0.029594
53,H,0.015907
54,H,-0.005508
55,C,-0.2005
56,H,0.107857
57,C,-0.02008
58,H,0.103564
