index,element,charge
0,H,0.110633
1,C,-0.049952
2,C,-0.144575
3,C,0.67252
4,O,-0.511421
5,O,-0.521564
6,C,0.53311
7,H,-0.020536
8,C,-0.197505
9,H,0.058006
10,H,0.060865
11,C,-0.035819
12,H,0.02473
13,H,0.022401
14,C,-0.01127
15,H,0.018045
16,H,0.003152
17,C,-0.032233
18,H,0.022339
19,H,0.017768
20,C,-0.18809
21,H,0.04347
22,H,0.064041
23,C,0.001695
24,H,0.098592
25,C,-0.29773
26,H,0.149489
27,C,0.089588
28,C,0.062597
29,H,0.019007
30,C,0.081345
31,H,0.002555
32,H,-0.00423
33,C,-0.224634
34,H,0.036801
35,H,0.053281
36,C,0.166272
37,H,-0.01909
38,C,-0.071286
39,H,0.022233
40,H,0.040266
41,C,0.12263
42,H,-3.5e-05
43,H,-0.015438
44,C,-0.266431
45,H,0.061083
46,H,0.055409
47,H,0.061664
48,C,-0.209891
49,H,0.044419
50,H,0.050836
51,C,0.028971
52,H,0.013391
53,H,-0.004719
54,C,-0.194469
55,H,0.107714
