index,element,charge
0,C,-0.037482
1,O,-0.284146
2,C,0.509213
3,C,-0.460829
4,C,0.150561
5,C,-0.555183
6,C,0.838022
7,O,-0.514562
8,O,-0.479954
9,C,0.549638
10,C,-0.357423
11,C,0.032204
12,C,-0.291973
13,C,0.734518
14,O,-0.475824
15,O,-0.405041
16,C,0.446725
17,C,-0.303252
18,C,-0.039789
19,C,-0.144433
20,N,0.816869
21,O,-0.436641
22,O,-0.43562
23,C,-0.073509
24,C,-0.262542
25,C,0.031907
26,C,-0.362078
27,C,0.458651
28,O,-0.147019
29,C,-0.196179
30,C,-0.461492
31,H,0.095105
32,H,0.066348
33,H,0.062373
34,H,0.174664
35,H,0.103231
36,H,0.174275
37,H,0.100293
38,H,0.181558
39,H,0.134999
40,H,0.141225
41,H,0.159478
42,H,0.108088
43,H,0.190201
44,H,0.095952
45,H,0.099581
46,H,0.119903
47,H,0.149393
