index,element,charge
0,C,-0.256419
1,C,0.111713
2,C,-0.018339
3,C,0.004745
4,C,0.031908
5,O,-0.373423
6,C,0.489642
7,C,-0.054752
8,C,-0.328841
9,C,0.456764
10,F,-0.171678
11,C,-0.508037
12,C,0.822219
13,O,-0.483965
14,O,-0.389094
15,C,0.397493
16,C,-0.256169
17,C,-0.212776
18,C,0.207763
19,F,-0.148792
20,C,0.070737
21,C,0.192171
22,C,-0.42732
23,C,0.308141
24,F,-0.144457
25,C,0.02686
26,F,-0.103003
27,C,0.293374
28,F,-0.139149
29,C,-0.42109
30,C,-0.407715
31,C,0.430508
32,F,-0.180111
33,C,-0.2537
34,O,-0.315253
35,C,-0.089403
36,H,0.063094
37,H,0.059649
38,H,0.057026
39,H,-0.001963
40,H,-0.016516
41,H,0.01962
42,H,0.055982
43,H,0.022299
44,H,0.030968
45,H,0.078549
46,H,0.016583
47,H,0.160351
48,H,0.180573
49,H,0.165642
50,H,0.205696
51,H,0.217355
52,H,0.209357
53,H,0.149381
54,H,0.059311
55,H,0.106493
