index,element,charge
0,C,-0.026032
1,O,-0.297558
2,C,0.549014
3,C,-0.471083
4,C,0.129802
5,C,-0.475892
6,C,0.762731
7,O,-0.508096
8,O,-0.317511
9,C,0.438218
10,C,-0.401872
11,C,0.108336
12,C,-0.499068
13,C,0.763052
14,O,-0.483433
15,O,-0.386444
16,C,0.484496
17,C,-0.328447
18,C,-0.058332
19,C,-0.251481
20,N,0.820764
21,O,-0.444661
22,O,-0.414096
23,C,0.390025
24,F,-0.140167
25,C,-0.467211
26,C,0.492051
27,O,-0.190501
28,C,-0.174911
29,C,-0.469281
30,C,0.446955
31,F,-0.17612
32,C,-0.472205
33,H,0.095324
34,H,0.066295
35,H,0.066189
36,H,0.181726
37,H,0.111772
38,H,0.183196
39,H,0.098854
40,H,0.17052
41,H,0.155498
42,H,0.228605
43,H,0.127525
44,H,0.102394
45,H,0.103881
46,H,0.198655
47,H,0.178525
