index,element,charge
0,C,-0.277749
1,C,0.117537
2,C,0.065458
3,O,-0.260268
4,C,0.378295
5,C,-0.411708
6,C,0.481318
7,O,-0.282194
8,C,-0.05263
9,C,-0.454536
10,C,0.116632
11,C,-0.461337
12,C,0.771542
13,O,-0.484702
14,O,-0.418607
15,C,0.454329
16,C,-0.343826
17,C,0.027383
18,C,-0.255007
19,C,0.731463
20,O,-0.486929
21,O,-0.423219
22,C,0.469063
23,C,-0.298929
24,C,-0.068532
25,C,-0.070252
26,C,0.120406
27,C,-0.119105
28,C,-0.147312
29,C,-0.049175
30,N,0.782455
31,O,-0.427392
32,O,-0.430877
33,C,-0.128825
34,C,-0.133294
35,C,-0.028615
36,C,-0.348934
37,C,-0.027211
38,C,-0.266094
39,H,0.076975
40,H,0.068391
41,H,0.06012
42,H,0.018673
43,H,-0.009339
44,H,0.024961
45,H,0.074277
46,H,0.169495
47,H,0.0979
48,H,0.068906
49,H,0.06526
50,H,0.171583
51,H,0.104159
52,H,0.177988
53,H,0.10533
54,H,0.164805
55,H,0.113504
56,H,0.122031
57,H,0.143446
58,H,0.140016
59,H,0.117704
60,H,0.111155
61,H,0.189001
62,H,0.11537
63,H,0.149667
