index,element,charge
0,C,-0.058259
1,O,-0.284119
2,C,0.543969
3,C,-0.384332
4,C,0.067691
5,C,-0.565285
6,C,0.839056
7,O,-0.509721
8,O,-0.452848
9,C,0.556382
10,C,-0.432687
11,C,0.062995
12,C,-0.396027
13,C,0.757604
14,O,-0.461722
15,O,-0.420334
16,C,0.450935
17,C,-0.305384
18,C,-0.045587
19,C,-0.137563
20,N,0.811742
21,O,-0.434313
22,O,-0.434701
23,C,-0.070588
24,C,-0.268562
25,C,0.428312
26,F,-0.160896
27,C,-0.470064
28,C,0.581046
29,O,-0.193025
30,C,-0.201941
31,C,-0.597929
32,H,0.098411
33,H,0.068589
34,H,0.073096
35,H,0.150459
36,H,0.118884
37,H,0.202861
38,H,0.117007
39,H,0.184323
40,H,0.136348
41,H,0.139847
42,H,0.162519
43,H,0.211844
44,H,0.123314
45,H,0.106776
46,H,0.111402
47,H,0.180477
