index,element,charge
0,C,-0.216662
1,C,0.101334
2,C,-0.03677
3,C,0.114512
4,C,-0.179792
5,C,0.106678
6,C,-0.05291
7,C,-0.001999
8,O,-0.281102
9,C,0.4989
10,C,-0.443632
11,C,0.488188
12,O,-0.291604
13,C,-0.002591
14,C,-0.445152
15,C,0.125989
16,C,-0.553617
17,C,0.837449
18,O,-0.516585
19,O,-0.392227
20,C,0.391893
21,C,-0.315322
22,C,-0.014123
23,C,-0.197041
24,C,0.707381
25,O,-0.482801
26,O,-0.429103
27,C,0.486194
28,C,-0.28588
29,C,-0.059372
30,C,-0.144067
31,N,0.815427
32,O,-0.436536
33,O,-0.433471
34,C,-0.051147
35,C,-0.308167
36,C,-0.058166
37,C,-0.238747
38,H,0.051982
39,H,0.042317
40,H,0.05521
41,H,-0.011186
42,H,-0.014049
43,H,-0.011744
44,H,0.010259
45,H,-0.007771
46,H,-0.020291
47,H,0.049294
48,H,0.03167
49,H,-0.008163
50,H,0.014258
51,H,0.018898
52,H,0.027185
53,H,0.040592
54,H,0.08743
55,H,0.16442
56,H,0.0868
57,H,0.052028
58,H,0.053837
59,H,0.172613
60,H,0.106639
61,H,0.181475
62,H,0.118033
63,H,0.163506
64,H,0.138254
65,H,0.136515
66,H,0.190866
67,H,0.122493
68,H,0.151269
