index,element,charge
0,C,-0.198014
1,C,0.124776
2,C,-0.00576
3,C,-0.102695
4,C,0.191526
5,C,-0.417853
6,C,0.367616
7,F,-0.162938
8,C,-0.291462
9,C,0.388787
10,C,-0.484938
11,C,0.470252
12,F,-0.1593
13,C,-0.466616
14,C,0.723331
15,F,-0.202114
16,F,-0.215798
17,O,-0.345867
18,C,0.485087
19,C,-0.503267
20,C,0.487347
21,F,-0.151276
22,C,-0.487997
23,C,0.477924
24,N,-0.436638
25,C,0.491373
26,F,-0.147536
27,C,-0.515582
28,C,0.435266
29,F,-0.150024
30,C,-0.470858
31,C,0.323346
32,F,-0.150337
33,C,-0.370969
34,H,0.040937
35,H,0.047587
36,H,0.058188
37,H,-0.019528
38,H,-0.012575
39,H,0.020418
40,H,-0.001143
41,H,0.05548
42,H,0.050852
43,H,0.192385
44,H,0.208392
45,H,0.221419
46,H,0.218259
47,H,0.207379
48,H,0.183158
