index,element,charge
0,C,-0.267687
1,C,0.128947
2,C,-0.011252
3,C,0.015312
4,C,-0.131945
5,O,-0.281937
6,C,0.464682
7,C,0.052746
8,C,-0.387984
9,C,0.517914
10,F,-0.171681
11,C,-0.597386
12,C,0.832035
13,O,-0.471528
14,O,-0.35675
15,C,0.50575
16,C,-0.575256
17,C,0.487627
18,F,-0.15555
19,C,-0.451883
20,C,0.661178
21,F,-0.186777
22,F,-0.196725
23,O,-0.350206
24,C,0.44899
25,C,-0.531756
26,C,0.314772
27,F,-0.136258
28,C,0.006285
29,F,-0.102296
30,C,0.289734
31,F,-0.128802
32,C,-0.464263
33,C,0.426066
34,F,-0.146594
35,C,-0.500729
36,C,0.490767
37,F,-0.179026
38,C,-0.356197
39,O,-0.334801
40,C,-0.056882
41,H,0.06434
42,H,0.061263
43,H,0.063672
44,H,-0.024106
45,H,-0.003798
46,H,0.045552
47,H,0.019776
48,H,0.034791
49,H,0.072559
50,H,0.112868
51,H,0.008513
52,H,0.165517
53,H,0.249753
54,H,0.238414
55,H,0.229211
56,H,0.224758
57,H,0.166648
58,H,0.057555
59,H,0.102058
