index,element,charge
0,C,-0.215341
1,C,0.048207
2,C,-0.131224
3,C,-0.127264
4,C,0.187316
5,C,-0.247697
6,C,0.225893
7,O,-0.333127
8,C,0.387408
9,C,-0.469413
10,C,0.504698
11,O,-0.40882
12,C,0.698462
13,O,-0.486387
14,C,-0.234617
15,C,-0.055944
16,C,-0.269547
17,C,0.469337
18,O,-0.300913
19,C,-0.024433
20,C,-0.369834
21,C,0.023475
22,C,-0.321776
23,C,-0.081839
24,C,-0.243566
25,C,0.629723
26,O,-0.460105
27,O,-0.29723
28,C,0.373371
29,C,-0.271054
30,C,-0.061581
31,C,-0.126021
32,N,0.808168
33,O,-0.433201
34,O,-0.437239
35,C,-0.094192
36,C,-0.208773
37,H,0.052051
38,H,0.070038
39,H,0.053732
40,H,0.007208
41,H,0.01648
42,H,0.027887
43,H,0.054407
44,H,0.033854
45,H,0.060984
46,H,-0.031863
47,H,0.002111
48,H,0.075383
49,H,0.051429
50,H,0.037974
51,H,-0.010126
52,H,0.198339
53,H,0.128061
54,H,0.13144
55,H,0.093088
56,H,0.062359
57,H,0.061458
58,H,0.159045
59,H,0.102916
60,H,0.185242
61,H,0.146505
62,H,0.182569
63,H,0.135921
64,H,0.142974
65,H,0.123611
