index,element,charge
0,C,-0.373095
1,C,0.207534
2,C,-0.031404
3,C,-0.169595
4,C,0.256451
5,C,-0.262993
6,C,0.13778
7,O,-0.215621
8,C,0.366741
9,C,-0.396152
10,C,0.45244
11,O,-0.356686
12,C,0.701507
13,O,-0.478112
14,C,-0.294983
15,C,-0.029648
16,C,-0.289682
17,C,0.483815
18,O,-0.301574
19,C,-0.019107
20,C,-0.388593
21,C,0.078853
22,C,-0.392007
23,C,0.055652
24,C,-0.399769
25,C,0.762519
26,O,-0.482924
27,O,-0.431006
28,C,0.573338
29,C,-0.356382
30,C,-0.043238
31,C,-0.254939
32,N,0.82116
33,O,-0.440872
34,O,-0.417376
35,C,0.413001
36,F,-0.13703
37,C,-0.567024
38,H,0.087225
39,H,0.079694
40,H,0.081794
41,H,-0.019236
42,H,-0.020632
43,H,0.01484
44,H,0.002733
45,H,0.030345
46,H,0.029194
47,H,-0.032754
48,H,-0.032006
49,H,0.08199
50,H,0.058875
51,H,0.038458
52,H,0.036621
53,H,0.145783
54,H,0.114745
55,H,0.132093
56,H,0.092735
57,H,0.059726
58,H,0.05896
59,H,0.165821
60,H,0.101193
61,H,0.192298
62,H,0.119173
63,H,0.175004
64,H,0.154124
65,H,0.270224
