index,element,charge
0,C,-0.36642
1,S,-0.029359
2,C,0.023351
3,C,-0.007879
4,C,-0.197696
5,C,-0.063404
6,C,-0.123854
7,C,-0.131825
8,C,0.662139
9,O,-0.458629
10,O,-0.386037
11,C,0.504571
12,C,-0.342886
13,C,-0.001706
14,C,-0.238617
15,C,0.723195
16,O,-0.489909
17,O,-0.404231
18,C,0.473014
19,C,-0.30786
20,C,-0.045821
21,C,-0.136559
22,N,0.810825
23,O,-0.435928
24,O,-0.430428
25,C,-0.065076
26,C,-0.300783
27,C,0.009593
28,C,-0.344795
29,H,0.169944
30,H,0.123674
31,H,0.120913
32,H,0.096492
33,H,0.133068
34,H,0.104782
35,H,0.119296
36,H,0.195325
37,H,0.11086
38,H,0.170857
39,H,0.136292
40,H,0.139283
41,H,0.194627
42,H,0.116528
43,H,0.171071
