index,element,charge
0,C,-0.275163
1,C,0.147421
2,C,-0.025711
3,C,0.038581
4,C,-0.148254
5,O,-0.27079
6,C,0.449672
7,C,0.029794
8,C,-0.340558
9,C,0.478704
10,F,-0.168053
11,C,-0.548508
12,C,0.792678
13,O,-0.472097
14,O,-0.349412
15,C,0.43096
16,C,-0.360808
17,C,-0.051752
18,C,-0.167076
19,C,0.258591
20,C,-0.387341
21,C,0.364867
22,F,-0.133619
23,C,-0.346686
24,N,0.851656
25,O,-0.404834
26,O,-0.409595
27,C,0.34382
28,F,-0.126458
29,C,-0.374629
30,C,0.375797
31,F,-0.163265
32,C,-0.445289
33,C,0.47697
34,F,-0.180155
35,C,-0.358406
36,O,-0.324668
37,C,-0.051214
38,H,0.064484
39,H,0.063622
40,H,0.06518
41,H,-0.029117
42,H,-0.009018
43,H,0.045343
44,H,0.020222
45,H,0.028335
46,H,0.07324
47,H,0.116277
48,H,0.01156
49,H,0.15225
50,H,0.200261
51,H,0.133122
52,H,0.193655
53,H,0.18137
54,H,0.217376
55,H,0.166343
56,H,0.054606
57,H,0.09572
