index,element,charge
0,C,-0.300988
1,C,0.268078
2,C,-0.405802
3,C,0.710214
4,O,-0.484994
5,O,-0.359712
6,C,0.54467
7,C,-0.552783
8,C,0.505572
9,F,-0.171577
10,C,-0.575866
11,C,0.831362
12,O,-0.471436
13,O,-0.37363
14,C,0.424089
15,C,-0.306833
16,C,-0.088401
17,C,-0.155005
18,C,0.24886
19,C,-0.373125
20,C,0.345391
21,F,-0.127856
22,C,-0.346373
23,N,0.858722
24,O,-0.415269
25,O,-0.404983
26,C,0.359625
27,F,-0.131126
28,C,-0.381166
29,C,0.388031
30,F,-0.158293
31,C,-0.475392
32,C,0.484217
33,F,-0.154902
34,C,-0.547826
35,H,0.063367
36,H,0.087489
37,H,0.079269
38,H,-0.037768
39,H,-0.012361
40,H,0.100187
41,H,0.121931
42,H,0.22173
43,H,0.177772
44,H,0.137776
45,H,0.183757
46,H,0.190091
47,H,0.229302
48,H,0.251966
