index,element,charge
0,C,-0.278345
1,C,0.259811
2,C,-0.270977
3,C,0.208408
4,C,-0.141578
5,C,-0.120911
6,C,-0.143493
7,C,0.692622
8,O,-0.478058
9,O,-0.404507
10,C,0.562133
11,C,-0.401885
12,C,0.036916
13,C,-0.41572
14,C,0.743104
15,O,-0.455277
16,O,-0.363243
17,C,0.535188
18,C,-0.564516
19,C,0.520715
20,F,-0.153755
21,C,-0.510823
22,C,0.482227
23,N,-0.437442
24,C,0.522726
25,F,-0.158542
26,C,-0.560281
27,C,0.484754
28,F,-0.164397
29,C,-0.520822
30,C,-0.065893
31,C,-0.230969
32,H,0.056582
33,H,0.064995
34,H,0.07875
35,H,-0.03034
36,H,-0.035534
37,H,0.086718
38,H,0.061702
39,H,0.118171
40,H,0.127697
41,H,0.205891
42,H,0.119597
43,H,0.244492
44,H,0.227991
45,H,0.216554
46,H,0.117679
47,H,0.131883
