index,element,charge
0,C,-0.151051
1,O,-0.160795
2,C,0.305645
3,C,-0.184649
4,C,0.143469
5,S,-0.130895
6,C,-0.262567
7,C,-0.321458
8,C,0.057342
9,C,-0.382407
10,C,0.726712
11,O,-0.481255
12,O,-0.401779
13,C,0.471033
14,C,-0.326382
15,C,0.022498
16,C,-0.285321
17,C,0.745592
18,O,-0.477445
19,O,-0.405232
20,C,0.508928
21,C,-0.33266
22,C,-0.066266
23,C,-0.245384
24,N,0.82071
25,O,-0.436328
26,O,-0.417825
27,C,0.391348
28,F,-0.134053
29,C,-0.478078
30,C,0.010955
31,C,-0.30427
32,H,0.125098
33,H,0.086941
34,H,0.082038
35,H,0.120548
36,H,0.163204
37,H,0.103836
38,H,0.108354
39,H,0.176799
40,H,0.10148
41,H,0.181716
42,H,0.108973
43,H,0.177395
44,H,0.15715
45,H,0.227997
46,H,0.104261
47,H,0.15608
