index,element,charge
0,C,-0.048955
1,O,-0.283822
2,C,0.543091
3,C,-0.400779
4,C,0.09242
5,C,-0.573121
6,C,0.777923
7,O,-0.49187
8,O,-0.354097
9,C,0.522866
10,C,-0.539388
11,C,0.49711
12,F,-0.162467
13,C,-0.57683
14,C,0.822784
15,O,-0.472973
16,O,-0.402224
17,C,0.434211
18,C,-0.31339
19,C,-0.042567
20,C,-0.128135
21,N,0.804058
22,O,-0.431858
23,O,-0.430969
24,C,-0.078556
25,C,-0.254188
26,C,0.513425
27,F,-0.170483
28,C,-0.562623
29,C,0.59215
30,O,-0.204282
31,C,-0.174758
32,C,-0.591529
33,H,0.095183
34,H,0.067759
35,H,0.071469
36,H,0.150728
37,H,0.103842
38,H,0.215936
39,H,0.188222
40,H,0.135488
41,H,0.140046
42,H,0.168583
43,H,0.243409
44,H,0.127099
45,H,0.09815
46,H,0.103613
47,H,0.180301
