index,element,charge
0,C,-0.278916
1,C,0.266406
2,C,-0.273741
3,C,0.208706
4,C,-0.14488
5,C,-0.104484
6,C,-0.168474
7,C,0.692951
8,O,-0.469666
9,O,-0.374573
10,C,0.519118
11,C,-0.524783
12,C,0.433044
13,F,-0.158748
14,C,-0.398722
15,C,0.435435
16,C,-0.504146
17,C,0.493596
18,F,-0.158949
19,C,-0.476253
20,C,0.478408
21,N,-0.434999
22,C,0.489304
23,F,-0.156746
24,C,-0.5017
25,C,0.431617
26,F,-0.15857
27,C,-0.532358
28,C,-0.055629
29,C,-0.225957
30,H,0.056525
31,H,0.064645
32,H,0.076978
33,H,-0.031619
34,H,-0.038257
35,H,0.086614
36,H,0.061485
37,H,0.118989
38,H,0.122374
39,H,0.220173
40,H,0.214556
41,H,0.218499
42,H,0.241935
43,H,0.11069
44,H,0.130124
