index,element,charge
0,C,-0.259185
1,C,0.136138
2,C,-0.03012
3,C,0.013056
4,C,-0.089689
5,O,-0.319891
6,C,0.475423
7,C,-0.070718
8,C,-0.285938
9,C,0.356701
10,F,-0.166558
11,C,-0.265385
12,C,0.297941
13,C,-0.421533
14,C,0.396781
15,F,-0.161875
16,C,-0.347544
17,C,0.408198
18,C,-0.493938
19,C,0.490778
20,F,-0.159592
21,C,-0.467556
22,C,0.475629
23,N,-0.433712
24,C,0.482238
25,F,-0.155793
26,C,-0.488093
27,C,0.3974
28,F,-0.161815
29,C,-0.425665
30,C,0.366929
31,F,-0.167389
32,C,-0.287881
33,O,-0.350387
34,C,-0.009816
35,H,0.061817
36,H,0.059052
37,H,0.058827
38,H,-0.022821
39,H,-0.010527
40,H,0.056393
41,H,0.01938
42,H,0.025928
43,H,0.057441
44,H,0.108691
45,H,0.023048
46,H,0.151544
47,H,0.200307
48,H,0.215615
49,H,0.214882
50,H,0.202385
51,H,0.170569
52,H,0.040099
53,H,0.090232
