index,element,charge
0,C,-0.191403
1,C,0.102928
2,C,-0.007174
3,O,-0.241113
4,C,0.099538
5,C,0.275016
6,C,-0.500606
7,C,0.488532
8,F,-0.167064
9,C,-0.33232
10,C,0.068569
11,C,-0.21448
12,C,0.350636
13,C,-0.419387
14,C,0.36543
15,F,-0.153177
16,C,-0.314149
17,C,0.422897
18,C,-0.511915
19,C,0.504362
20,F,-0.159247
21,C,-0.487307
22,C,0.479245
23,N,-0.43321
24,C,0.504368
25,F,-0.160062
26,C,-0.506975
27,C,0.36719
28,F,-0.157032
29,C,-0.420523
30,C,0.483136
31,F,-0.170278
32,C,-0.511767
33,H,0.046741
34,H,0.050803
35,H,0.05048
36,H,0.006631
37,H,0.000852
38,H,0.026464
39,H,0.045863
40,H,0.040548
41,H,0.036795
42,H,0.195691
43,H,0.209863
44,H,0.217042
45,H,0.216572
46,H,0.210652
47,H,0.192347
