index,element,charge
0,C,-0.335348
1,C,0.249052
2,C,-0.082557
3,C,0.005155
4,O,-0.249664
5,C,0.063963
6,C,0.273441
7,C,-0.504619
8,C,0.462826
9,F,-0.166698
10,C,-0.300302
11,C,0.045289
12,C,-0.192288
13,C,0.331487
14,C,-0.410183
15,C,0.357578
16,F,-0.153863
17,C,-0.301104
18,C,0.414391
19,C,-0.50401
20,C,0.501537
21,F,-0.160366
22,C,-0.482465
23,C,0.479119
24,N,-0.434041
25,C,0.499619
26,F,-0.158165
27,C,-0.506265
28,C,0.357559
29,F,-0.15398
30,C,-0.410965
31,C,0.461351
32,F,-0.163436
33,C,-0.472491
34,H,0.075685
35,H,0.069554
36,H,0.078812
37,H,-0.030836
38,H,-0.037004
39,H,0.039835
40,H,0.032558
41,H,0.043561
42,H,0.034894
43,H,0.049459
44,H,0.046688
45,H,0.194555
46,H,0.208453
47,H,0.215416
48,H,0.217293
49,H,0.208712
50,H,0.192808
