index,element,charge
0,C,-0.28714
1,C,0.083744
2,C,0.151279
3,C,-0.289789
4,C,0.268557
5,O,-0.337931
6,C,0.026893
7,C,0.222257
8,C,-0.332789
9,C,0.359681
10,F,-0.154671
11,C,-0.240461
12,C,0.044697
13,C,-0.198592
14,C,0.33808
15,C,-0.41441
16,C,0.36634
17,F,-0.153894
18,C,-0.315994
19,C,0.418232
20,C,-0.505283
21,C,0.502625
22,F,-0.159474
23,C,-0.482519
24,C,0.478824
25,N,-0.433344
26,C,0.500867
27,F,-0.158648
28,C,-0.507416
29,C,0.373376
30,F,-0.157005
31,C,-0.420003
32,C,0.43875
33,F,-0.163059
34,C,-0.508329
35,H,0.073959
36,H,0.064364
37,H,0.060657
38,H,-0.004572
39,H,-0.006522
40,H,-0.00497
41,H,-0.003918
42,H,0.073419
43,H,0.060161
44,H,0.000491
45,H,-0.014313
46,H,0.088899
47,H,0.049309
48,H,0.152014
49,H,0.210248
50,H,0.215262
51,H,0.217663
52,H,0.209378
53,H,0.205017
