index,element,charge
0,C,-0.062355
1,O,-0.284467
2,C,0.539237
3,C,-0.38056
4,C,0.063407
5,C,-0.549232
6,C,0.840455
7,O,-0.510702
8,O,-0.465285
9,C,0.624769
10,C,-0.593658
11,C,0.494843
12,F,-0.160522
13,C,-0.572515
14,C,0.80165
15,O,-0.4815
16,O,-0.371887
17,C,0.396845
18,C,-0.276934
19,C,-0.076016
20,C,-0.036009
21,C,0.089677
22,C,-0.102897
23,C,-0.201523
24,C,0.032757
25,C,0.541059
26,F,-0.213756
27,F,-0.203253
28,O,-0.342816
29,C,0.466369
30,C,-0.493322
31,C,0.2999
32,F,-0.131671
33,C,-0.005099
34,F,-0.100077
35,C,0.318251
36,F,-0.136213
37,C,-0.507394
38,C,-0.163193
39,C,-0.130439
40,C,-0.060993
41,C,-0.311412
42,C,0.501765
43,F,-0.160415
44,C,-0.579237
45,C,0.553493
46,O,-0.175622
47,C,-0.201679
48,C,-0.585673
49,H,0.099213
50,H,0.072239
51,H,0.072319
52,H,0.14979
53,H,0.117804
54,H,0.245816
55,H,0.160194
56,H,0.114963
57,H,0.112425
58,H,0.150603
59,H,0.237372
60,H,0.228863
61,H,0.136436
62,H,0.121182
63,H,0.11171
64,H,0.182805
65,H,0.232116
66,H,0.107776
67,H,0.106511
68,H,0.123164
69,H,0.180546
