index,element,charge
0,C,-0.26713
1,C,0.117812
2,C,-0.003379
3,C,-0.004626
4,C,0.019639
5,O,-0.367164
6,C,0.474659
7,C,-0.042221
8,C,-0.33071
9,C,0.438932
10,F,-0.163177
11,C,-0.461531
12,C,0.781377
13,O,-0.47291
14,O,-0.375643
15,C,0.46385
16,C,-0.314073
17,C,-0.073588
18,C,-0.028624
19,C,0.241807
20,C,-0.448533
21,C,0.490213
22,F,-0.158761
23,C,-0.443307
24,C,0.460597
25,N,-0.428833
26,C,0.478431
27,F,-0.157295
28,C,-0.439062
29,C,0.006442
30,N,0.760014
31,O,-0.376635
32,O,-0.41418
33,C,-0.358514
34,C,0.380291
35,F,-0.159012
36,C,-0.233904
37,O,-0.316183
38,C,-0.083179
39,H,0.065987
40,H,0.062555
41,H,0.061963
42,H,-0.00457
43,H,-0.019016
44,H,0.016073
45,H,0.049239
46,H,0.02707
47,H,0.036154
48,H,0.084409
49,H,0.022105
50,H,0.163066
51,H,0.201397
52,H,0.128661
53,H,0.197503
54,H,0.19509
55,H,0.207736
56,H,0.148476
57,H,0.057575
58,H,0.106635
