index,element,charge
0,C,-0.072319
1,O,-0.275159
2,C,0.584691
3,C,-0.536966
4,C,0.491853
5,F,-0.157785
6,C,-0.635124
7,C,0.845486
8,O,-0.489132
9,O,-0.38407
10,C,0.471897
11,C,-0.3629
12,C,0.073251
13,C,-0.508501
14,C,0.829245
15,O,-0.504461
16,O,-0.453675
17,C,0.650157
18,C,-0.619947
19,C,0.526433
20,F,-0.155846
21,C,-0.518206
22,C,0.487138
23,N,-0.444688
24,C,0.533739
25,F,-0.163118
26,C,-0.620031
27,C,0.502101
28,O,-0.183518
29,C,-0.184068
30,C,-0.504601
31,C,0.577268
32,F,-0.17471
33,C,-0.643767
34,H,0.106392
35,H,0.080588
36,H,0.078559
37,H,0.193301
38,H,0.17804
39,H,0.113864
40,H,0.259362
41,H,0.249778
42,H,0.115853
43,H,0.104964
44,H,0.113572
45,H,0.197232
46,H,0.227829
