index,element,charge
0,C,-0.031221
1,O,-0.308246
2,C,0.573507
3,C,-0.478487
4,C,0.073759
5,C,-0.453496
6,C,0.758561
7,O,-0.477026
8,O,-0.407872
9,C,0.483411
10,C,-0.36165
11,C,0.047002
12,C,-0.436124
13,C,0.758595
14,O,-0.463547
15,O,-0.364836
16,C,0.509427
17,C,-0.561169
18,C,0.521917
19,F,-0.157934
20,C,-0.502803
21,C,0.485359
22,N,-0.441235
23,C,0.496592
24,F,-0.154247
25,C,-0.521104
26,C,0.409908
27,C,-0.465786
28,C,-0.429722
29,C,0.480089
30,O,-0.262246
31,C,-0.084242
32,C,-0.514941
33,H,0.089565
34,H,0.06873
35,H,0.069381
36,H,0.17866
37,H,0.116882
38,H,0.172052
39,H,0.110918
40,H,0.23931
41,H,0.219383
42,H,0.14812
43,H,0.141081
44,H,0.11889
45,H,0.17961
46,H,0.087521
47,H,0.076744
48,H,0.102375
49,H,0.160584
