index,element,charge
0,O,-0.454302
1,C,0.73127
2,O,-0.389338
3,C,0.413916
4,C,-0.285326
5,C,-0.053191
6,C,-0.130969
7,N,0.808891
8,O,-0.430028
9,O,-0.433977
10,C,-0.071623
11,C,-0.253024
12,C,-0.375142
13,C,0.020526
14,C,-0.356844
15,C,0.496348
16,O,-0.387615
17,C,0.797642
18,O,-0.46514
19,C,-0.471691
20,C,0.432788
21,F,-0.173702
22,C,-0.34609
23,C,0.017564
24,C,-0.339358
25,C,0.42435
26,F,-0.158034
27,C,-0.497246
28,C,0.455411
29,F,-0.153818
30,H,0.18272
31,H,0.138353
32,H,0.139662
33,H,0.156867
34,H,0.122626
35,H,0.182907
36,H,0.173706
37,H,0.124136
38,H,0.174749
39,H,0.232028
