molecule_id,family,y_true,y_score,cv_fold
MJ01077,dipole_prop,0,0.21073523799997979,1
MJ01075,dipole_prop,0,0.1919642082466663,1
RT09068,dipole_prop,0,0.21077294105297872,1
07004KW,dipole_prop,0,0.2133394124838414,1
08118KW,dipole_prop,0,0.09561394297337264,1
09079KW,dipole_prop,0,0.052870913793155165,1
Acid4,dipole_prop,0,0.24226725469501975,1
Comp89,dipole_prop,0,0.06080839043231104,1
Comp120,dipole_prop,0,0.028372266208244342,1
EC2F,dipole_prop,1,0.7195351594157088,1
RM734-3,dipole_prop,0,0.8420199217701985,1
5-5,dipole_prop,1,0.6228956730332157,1
6-2,dipole_prop,0,0.8105678358160383,1
6-5,dipole_prop,0,0.6455000891423066,1
UUQU-4-N,dipole_prop,0,0.49553024520575295,1
NT3-2,dipole_prop,1,0.7039399046972816,1
NT3F-4,dipole_prop,0,0.7962014106421831,1
Sulfur-7,dipole_prop,1,0.4449838982694212,1
S3,dipole_prop,1,0.7469208756157159,1
O5,dipole_prop,1,0.8276085257433275,1
SCUT1b,dipole_prop,1,0.6988043667186392,1
M-2-2,dipole_prop,1,0.7231610965377635,1
Li-11a,dipole_prop,0,0.7757476136358941,1
Li-22,dipole_prop,0,0.6518750771842686,1
06121KW,dipole_prop,0,0.41681821925902424,2
MJ01066,dipole_prop,0,0.21553664576235002,2
PR10004,dipole_prop,0,0.20460287446662026,2
08141KW,dipole_prop,0,0.2027253696842224,2
07099KW,dipole_prop,0,0.12945398784601603,2
AF01009,dipole_prop,0,0.17551882514109923,2
08116KW,dipole_prop,0,0.15055412322244052,2
08131KW,dipole_prop,0,0.13998875719012882,2
6CB,dipole_prop,0,0.04919240596774084,2
PCH-4,dipole_prop,0,0.05873808153584577,2
PCH-5,dipole_prop,0,0.05693293771103646,2
PCH-7,dipole_prop,0,0.056582838490442273,2
EC1F,dipole_prop,1,0.6274704542099977,2
EC3F,dipole_prop,1,0.6993369716888082,2
1O(M-O6)PEPEBNO2,dipole_prop,1,0.6424847990941979,2
6-6,dipole_prop,0,0.6010108209184909,2
NT3F-1,dipole_prop,1,0.7580061893978214,2
Sulfur-14,dipole_prop,1,0.5050927083919724,2
3CN,dipole_prop,1,0.5834052640809365,2
M-0-2,dipole_prop,1,0.7991766229612105,2
Li-4a,dipole_prop,0,0.8061264282826405,2
Li-9c,dipole_prop,1,0.8523638694786853,2
Li-19,dipole_prop,0,0.8169259996982347,2
Li-23,dipole_prop,1,0.7135857513375966,2
06119KW,dipole_prop,0,0.15583875076927078,3
MJ01071,dipole_prop,0,0.18451879634720433,3
MJ01073,dipole_prop,0,0.19740494766207892,3
08119KW,dipole_prop,0,0.15771846520944888,3
08123KW,dipole_prop,0,0.16897327043669527,3
7CB,dipole_prop,0,0.19489576459255234,3
5OCB,dipole_prop,0,0.1484216577480324,3
Comp35,dipole_prop,0,0.16060363219837148,3
PYP605,dipole_prop,0,0.14095654911862757,3
Comp113,dipole_prop,0,0.313726409677479,3
BCH52F,dipole_prop,0,0.021953102987189384,3
I32,dipole_prop,0,0.26416854359399133,3
EC6F,dipole_prop,1,0.6857128553616116,3
1O(M-O5)PEPEBNO2,dipole_prop,1,0.5737452397340751,3
1O(M-O7)PEPEBNO2,dipole_prop,1,0.6992253671359138,3
5-8,dipole_prop,1,0.6880107922819703,3
6-1,dipole_prop,1,0.7952436374586335,3
6-7,dipole_prop,0,0.7907038663802574,3
NT3-4,dipole_prop,1,0.6809060646894347,3
EST-1,dipole_prop,1,0.20503454012967715,3
2-2-Z1,dipole_prop,0,0.6354780686387118,3
SCUT22c,dipole_prop,1,0.6595054631869071,3
Li-10a,dipole_prop,0,0.7733315211794182,3
Li-25,dipole_prop,1,0.7029323204444394,3
MJ01056,dipole_prop,0,0.14368328945251435,4
RT08049,dipole_prop,0,0.21224651100663378,4
07080KW,dipole_prop,0,0.24250705643452156,4
Acid5-HOBA,dipole_prop,0,0.11655710484236888,4
RO-CM-4513,dipole_prop,0,0.24306514578854077,4
RO-CM-1540,dipole_prop,0,0.059411821796640465,4
Comp97,dipole_prop,0,0.24974470627397896,4
5-2,dipole_prop,1,0.6280764513327435,4
5-3,dipole_prop,1,0.7133009879076315,4
NT3-6,dipole_prop,1,0.6025038405392712,4
NT3F-6,dipole_prop,0,0.7962743584793405,4
Sulfur-12,dipole_prop,0,0.37124148899691367,4
Sulfur-18,dipole_prop,0,0.6312706473260185,4
O6,dipole_prop,0,0.737226792438857,4
SCUT1a,dipole_prop,1,0.6934489452068515,4
SCUT7a,dipole_prop,1,0.7742561579400888,4
SCUT23a,dipole_prop,0,0.6419733764507478,4
M-1-1,dipole_prop,1,0.6363781698071198,4
Li-1b,dipole_prop,0,0.5389463883463809,4
Li-5a,dipole_prop,0,0.7981558516246895,4
Li-5c,dipole_prop,1,0.7809919310406701,4
Li-8,dipole_prop,1,0.6033098884028523,4
