family,metric,mean,std,ci_low,ci_high,observed,p_value,n_folds,n_perm,prevalence_positive,chance_auprc
dipole_prop,AUPRC,0.551203265008412,0.10565361695951146,0.49442560253834766,0.6158148510043424,0.48894977324348265,0.001996007984031936,10,500,0.3601694915254237,0.3601694915254237
dipole_prop,BalancedAccuracy,0.7755555555555554,0.07301969499620511,0.73415625,0.8179270833333334,0.7756135566809506,,10,500,0.3601694915254237,0.3601694915254237
dipole_prop,MCC,0.5342943475512842,0.14164507659872294,0.4536946084751247,0.6173855862023658,0.5301661699073854,,10,500,0.3601694915254237,0.3601694915254237
dipole_prop,AUROC,0.7444560185185185,0.08336377134017194,0.6961093749999999,0.7919467592592594,0.7492014024152708,0.001996007984031936,10,500,0.3601694915254237,0.3601694915254237
dipole_prop,BhattacharyyaD,0.3175643114030464,,,,0.3175643114030464,,10,500,0.3601694915254237,0.3601694915254237
sigma_profile,AUPRC,0.6598210753480361,0.14791027836254986,0.5796005178384162,0.7507801742046533,0.5512478013422989,0.001996007984031936,10,500,0.3601694915254237,0.3601694915254237
sigma_profile,BalancedAccuracy,0.7274999999999999,0.0872161278046987,0.6758298611111112,0.7809722222222222,0.7252434748733931,,10,500,0.3601694915254237,0.3601694915254237
sigma_profile,MCC,0.45213331601202844,0.1842504564530799,0.34711473731903164,0.5711753834274227,0.43251198217547726,,10,500,0.3601694915254237,0.3601694915254237
sigma_profile,AUROC,0.7748900462962963,0.0863551175508437,0.7297670717592593,0.8319722222222222,0.7601090767432801,0.001996007984031936,10,500,0.3601694915254237,0.3601694915254237
sigma_profile,BhattacharyyaD,0.19217577335876726,,,,0.19217577335876726,,10,500,0.3601694915254237,0.3601694915254237
graphmol_conf0,AUPRC,0.7300876438376439,0.12722736416597868,0.6583555637071261,0.8054492162929663,0.6982547820292042,0.001996007984031936,10,500,0.3601694915254237,0.3601694915254237
graphmol_conf0,BalancedAccuracy,0.7875694444444444,0.05373008810684963,0.7591597222222222,0.818965277777778,0.7873782625633035,,10,500,0.3601694915254237,0.3601694915254237
graphmol_conf0,MCC,0.56487642070295,0.1004041424507639,0.5112729143280976,0.6269507966125326,0.5534351483897294,,10,500,0.3601694915254237,0.3601694915254237
graphmol_conf0,AUROC,0.8464525462962964,0.07448090305730573,0.8021974826388889,0.889351851851852,0.8403583950136346,0.001996007984031936,10,500,0.3601694915254237,0.3601694915254237
graphmol_conf0,BhattacharyyaD,0.44213758545785087,,,,0.44213758545785087,,10,500,0.3601694915254237,0.3601694915254237
graphmol_boltzmann,AUPRC,0.7438586066711066,0.11131113940913324,0.6684470397465191,0.8097137837085755,0.686354469369165,0.001996007984031936,10,500,0.3601694915254237,0.3601694915254237
graphmol_boltzmann,BalancedAccuracy,0.7897222222222222,0.049292838735634656,0.7618055555555556,0.8208437500000001,0.7903389170237631,,10,500,0.3601694915254237,0.3601694915254237
graphmol_boltzmann,MCC,0.5618572811429783,0.09788855930395929,0.5063380335043971,0.6263811775763004,0.5576883591577647,,10,500,0.3601694915254237,0.3601694915254237
graphmol_boltzmann,AUROC,0.8717071759259258,0.048838238026414425,0.8375150462962963,0.8980694444444445,0.8666926373198285,0.001996007984031936,10,500,0.3601694915254237,0.3601694915254237
graphmol_boltzmann,BhattacharyyaD,0.5109071579526028,,,,0.5109071579526028,,10,500,0.3601694915254237,0.3601694915254237
graphmol_dipole,AUPRC,0.7265801598093266,0.11265291452682068,0.6546659915123457,0.7960712458837459,0.6771227673430791,0.001996007984031936,10,500,0.3601694915254237,0.3601694915254237
graphmol_dipole,BalancedAccuracy,0.7863888888888888,0.0557934720431857,0.7530520833333333,0.8208333333333334,0.7870276587456174,,10,500,0.3601694915254237,0.3601694915254237
graphmol_dipole,MCC,0.5543270337569675,0.11153192386418607,0.4888181153979715,0.6248599174982752,0.5512290069031156,,10,500,0.3601694915254237,0.3601694915254237
graphmol_dipole,AUROC,0.8629629629629629,0.05021482580251044,0.8271249999999999,0.891115740740741,0.8638098948188546,0.001996007984031936,10,500,0.3601694915254237,0.3601694915254237
graphmol_dipole,BhattacharyyaD,0.5033758860800898,,,,0.5033758860800898,,10,500,0.3601694915254237,0.3601694915254237
