molecule_id,family,cv_fold,true_lbl,class_lbl,score
MJ01077,dipole_prop,1,2,2,0.6249106613818822
MJ01077,dipole_prop,1,2,4,0.14831115728068006
MJ01077,dipole_prop,1,2,5,0.22677818133743768
MJ01075,dipole_prop,1,2,2,0.646654512746318
MJ01075,dipole_prop,1,2,4,0.13622355321790297
MJ01075,dipole_prop,1,2,5,0.21712193403577884
RT09068,dipole_prop,1,2,2,0.6248676793439272
RT09068,dipole_prop,1,2,4,0.14833529886591992
RT09068,dipole_prop,1,2,5,0.22679702179015288
07004KW,dipole_prop,1,2,2,0.6219480710162398
07004KW,dipole_prop,1,2,4,0.14997736692613806
07004KW,dipole_prop,1,2,5,0.2280745620576221
08118KW,dipole_prop,1,2,2,0.773540643171155
08118KW,dipole_prop,1,2,4,0.07164158525370148
08118KW,dipole_prop,1,2,5,0.15481777157514343
09079KW,dipole_prop,1,2,2,0.8449769439289163
09079KW,dipole_prop,1,2,4,0.041103626633768875
09079KW,dipole_prop,1,2,5,0.11391942943731487
Acid4,dipole_prop,1,2,2,0.5898310703323351
Acid4,dipole_prop,1,2,4,0.1683182539469183
Acid4,dipole_prop,1,2,5,0.24185067572074673
Comp89,dipole_prop,1,2,2,0.8304308411156786
Comp89,dipole_prop,1,2,4,0.04689907026146223
Comp89,dipole_prop,1,2,5,0.12267008862285923
Comp120,dipole_prop,1,2,2,0.8962133671361217
Comp120,dipole_prop,1,2,4,0.022736002145254106
Comp120,dipole_prop,1,2,5,0.0810506307186243
1O(M-O2)PEPEBNO2,dipole_prop,1,4,2,0.19293941063582906
1O(M-O2)PEPEBNO2,dipole_prop,1,4,4,0.4182110344746371
1O(M-O2)PEPEBNO2,dipole_prop,1,4,5,0.3888495548895339
RM734-3,dipole_prop,1,2,2,0.09196496576613332
RM734-3,dipole_prop,1,2,4,0.47898510556426144
RM734-3,dipole_prop,1,2,5,0.4290499286696053
6-2,dipole_prop,1,2,2,0.11243896265209523
6-2,dipole_prop,1,2,4,0.46744931746736035
6-2,dipole_prop,1,2,5,0.4201117198805444
6-5,dipole_prop,1,2,2,0.22941188425448977
6-5,dipole_prop,1,2,4,0.3948914299722061
6-5,dipole_prop,1,2,5,0.3756966857733041
UUQU-4-N,dipole_prop,1,2,2,0.3493824729243543
UUQU-4-N,dipole_prop,1,2,4,0.31719169019898724
UUQU-4-N,dipole_prop,1,2,5,0.33342583687665844
NT3-7,dipole_prop,1,4,2,0.18281708836960361
NT3-7,dipole_prop,1,4,4,0.4246103972803463
NT3-7,dipole_prop,1,4,5,0.3925725143500502
NT3F-4,dipole_prop,1,2,2,0.12199138302525649
NT3F-4,dipole_prop,1,2,4,0.4618763665821134
NT3F-4,dipole_prop,1,2,5,0.4161322503926301
S3,dipole_prop,1,4,2,0.15568447263143576
S3,dipole_prop,1,4,4,0.4415345236679968
S3,dipole_prop,1,4,5,0.40278100370056746
O5,dipole_prop,1,4,2,0.10127042433038708
O5,dipole_prop,1,4,4,0.4738198586015573
O5,dipole_prop,1,4,5,0.42490971706805575
SCUT22b,dipole_prop,1,5,2,0.2617423975724263
SCUT22b,dipole_prop,1,5,4,0.3740049979527999
SCUT22b,dipole_prop,1,5,5,0.3642526044747738
M-1-0,dipole_prop,1,5,2,0.3652347489356585
M-1-0,dipole_prop,1,5,4,0.306965593623812
M-1-0,dipole_prop,1,5,5,0.32779965744052947
M-2-1,dipole_prop,1,4,2,0.28616654872472336
M-2-1,dipole_prop,1,4,4,0.3581647327058096
M-2-1,dipole_prop,1,4,5,0.355668718569467
Li-2a,dipole_prop,1,4,2,0.24273460097480898
Li-2a,dipole_prop,1,4,4,0.3863012814370254
Li-2a,dipole_prop,1,4,5,0.3709641175881656
Li-11a,dipole_prop,1,2,2,0.1358032230230134
Li-11a,dipole_prop,1,2,4,0.45365114895153336
Li-11a,dipole_prop,1,2,5,0.4105456280254532
Li-22,dipole_prop,1,2,2,0.22460528130475949
