family,metric,mean,std,ci_low,ci_high,observed,p_value,n_folds,n_perm,chance_macro_auprc
dipole_prop,MacroAUPRC,0.5125489820707733,0.04440429886748435,0.48966129210627174,0.5420254029355738,0.4648680753699501,0.001996007984031936,10,500,0.3333333333333333
dipole_prop,MacroBalancedAccuracy,0.5413095238095238,0.10297505631900335,0.48622718253968256,0.6046458333333334,0.540353321511719,,10,500,0.3333333333333333
sigma_profile,MacroAUPRC,0.5781829479104588,0.11095628420214403,0.5120297719432965,0.6437698619384379,0.4824377664553487,0.001996007984031936,10,500,0.3333333333333333
sigma_profile,MacroBalancedAccuracy,0.5258531746031746,0.15732507656350733,0.4256111111111112,0.6225039682539683,0.5231682529342935,,10,500,0.3333333333333333
graphmol_conf0,MacroAUPRC,0.6817906286748736,0.07611511295426589,0.6401358734152331,0.7274918494144842,0.6301372101136883,0.001996007984031936,10,500,0.3333333333333333
graphmol_conf0,MacroBalancedAccuracy,0.6611309523809523,0.11466218741617511,0.5920555555555556,0.7254454365079365,0.6628985271233669,,10,500,0.3333333333333333
graphmol_boltzmann,MacroAUPRC,0.7111359365456842,0.07754698616867121,0.6650014919299349,0.7568592058463605,0.6351132953588405,0.001996007984031936,10,500,0.3333333333333333
graphmol_boltzmann,MacroBalancedAccuracy,0.6884523809523809,0.126662739515134,0.6127668650793652,0.7585793650793652,0.6784596315998987,,10,500,0.3333333333333333
graphmol_dipole,MacroAUPRC,0.7081759918063277,0.07970304124128633,0.6606809341978744,0.7559612566414261,0.6309278884532311,0.001996007984031936,10,500,0.3333333333333333
graphmol_dipole,MacroBalancedAccuracy,0.6828968253968254,0.10997409704662281,0.6127668650793652,0.7404027777777777,0.6784596315998987,,10,500,0.3333333333333333
