molecule_id,family,y_true,y_score,cv_fold
06121KW,dipole_prop,0,0.2179766092089141,1
MJ01077,dipole_prop,0,0.22040454819397187,1
MJ01075,dipole_prop,0,0.0,1
MJ01066,dipole_prop,0,0.3025806829616802,1
PR10004,dipole_prop,0,0.0,1
08141KW,dipole_prop,0,0.0,1
07099KW,dipole_prop,0,0.0,1
AF01009,dipole_prop,0,0.0,1
RT09068,dipole_prop,0,0.22040454819397187,1
07004KW,dipole_prop,0,0.22040454819397187,1
08116KW,dipole_prop,0,0.0,1
08118KW,dipole_prop,0,0.0,1
08131KW,dipole_prop,0,0.0,1
09079KW,dipole_prop,0,0.0,1
Acid4,dipole_prop,0,0.01851444006636747,1
6CB,dipole_prop,0,0.0,1
PCH-4,dipole_prop,0,0.0,1
PCH-5,dipole_prop,0,0.0,1
PCH-7,dipole_prop,0,0.0,1
Comp89,dipole_prop,0,0.0,1
Comp120,dipole_prop,0,0.0,1
EC1F,dipole_prop,1,0.5836899284548279,1
EC2F,dipole_prop,1,0.9734759976639691,1
EC3F,dipole_prop,1,0.9727650748767751,1
1O(M-O6)PEPEBNO2,dipole_prop,1,0.21722236900499162,1
RM734-3,dipole_prop,0,0.010309842225772562,1
5-5,dipole_prop,1,0.7720738288212696,1
6-2,dipole_prop,0,0.33635698332156205,1
6-5,dipole_prop,0,0.2917963535496228,1
6-6,dipole_prop,0,0.8848469031273922,1
UUQU-4-N,dipole_prop,0,0.6827564561466515,1
NT3-2,dipole_prop,1,0.9198789756277159,1
NT3F-1,dipole_prop,1,0.8488019757581469,1
NT3F-4,dipole_prop,0,0.19557806267390404,1
Sulfur-7,dipole_prop,1,0.644132617610113,1
Sulfur-14,dipole_prop,1,0.4646391414616307,1
3CN,dipole_prop,1,0.9754347719390525,1
S3,dipole_prop,1,0.8234242646517127,1
O5,dipole_prop,1,0.012532064447994783,1
SCUT1b,dipole_prop,1,0.8346778269821703,1
M-0-2,dipole_prop,1,0.17815208714757372,1
M-2-2,dipole_prop,1,0.969444798977598,1
Li-4a,dipole_prop,0,0.05007669979501464,1
Li-9c,dipole_prop,1,0.3185884997591612,1
Li-11a,dipole_prop,0,0.8434237707235235,1
Li-19,dipole_prop,0,0.010309842225772562,1
Li-22,dipole_prop,0,0.25779280723612474,1
Li-23,dipole_prop,1,0.7133554765879077,1
06119KW,dipole_prop,0,0.4592307692307692,2
MJ01056,dipole_prop,0,0.0,2
MJ01071,dipole_prop,0,0.0,2
MJ01073,dipole_prop,0,0.0,2
RT08049,dipole_prop,0,0.0,2
07080KW,dipole_prop,0,0.22045349806563147,2
08119KW,dipole_prop,0,0.4592307692307692,2
08123KW,dipole_prop,0,0.01,2
Acid5-HOBA,dipole_prop,0,0.0,2
7CB,dipole_prop,0,0.0,2
5OCB,dipole_prop,0,0.016153846153846154,2
Comp35,dipole_prop,0,0.08384615384615385,2
RO-CM-4513,dipole_prop,0,0.12530544855912976,2
PYP605,dipole_prop,0,0.0,2
RO-CM-1540,dipole_prop,0,0.0,2
Comp97,dipole_prop,0,0.04583210420019079,2
Comp113,dipole_prop,0,0.46028878705299986,2
BCH52F,dipole_prop,0,0.0,2
I32,dipole_prop,0,0.02818153975836337,2
EC6F,dipole_prop,1,0.74718453500732,2
1O(M-O5)PEPEBNO2,dipole_prop,1,0.7957682945413673,2
1O(M-O7)PEPEBNO2,dipole_prop,1,0.965221128474783,2
5-2,dipole_prop,1,0.6522823089294502,2
5-8,dipole_prop,1,0.8959884649055802,2
6-1,dipole_prop,1,0.34915470891565525,2
6-7,dipole_prop,0,0.4708835210358326,2
NT3-4,dipole_prop,1,0.5254324422777433,2
NT3-6,dipole_prop,1,0.8474205264795688,2
NT3F-6,dipole_prop,0,0.3323017431531867,2
Sulfur-12,dipole_prop,0,0.4555237663434253,2
Sulfur-18,dipole_prop,0,0.8867076397950436,2
EST-1,dipole_prop,1,0.0,2
O6,dipole_prop,0,0.7944448218703231,2
2-2-Z1,dipole_prop,0,0.23088349107244513,2
SCUT1a,dipole_prop,1,0.8180694238721989,2
SCUT7a,dipole_prop,1,0.6109650532567393,2
SCUT22c,dipole_prop,1,0.419888493941534,2
SCUT23a,dipole_prop,0,0.9190938855010238,2
M-1-1,dipole_prop,1,0.9590027658921613,2
Li-1b,dipole_prop,0,0.6126928131623648,2
Li-5a,dipole_prop,0,0.3429089535224216,2
Li-5c,dipole_prop,1,0.33620135283857344,2
Li-8,dipole_prop,1,0.7978204643785575,2
Li-10a,dipole_prop,0,0.2935793568908771,2
Li-11b,dipole_prop,0,0.38691427150290697,2
Li-15,dipole_prop,1,0.4741298161254906,2
Li-25,dipole_prop,1,0.9873136969232837,2
PR07117,dipole_prop,0,0.0,3
06129KW,dipole_prop,0,0.0,3
06128KW,dipole_prop,0,0.0,3
06120KW,dipole_prop,0,0.0,3
07007KW,dipole_prop,0,0.0,3
MJ01064,dipole_prop,0,0.0,3
01031MR,dipole_prop,0,0.07992118412598995,3
07094KW,dipole_prop,0,0.07317346642419592,3
07129KW,dipole_prop,0,0.0,3
07036KW,dipole_prop,0,0.11396826778382711,3
07035KW,dipole_prop,0,0.0,3
