molecule_id,family,cv_fold,true_lbl,class_lbl,score
06121KW,dipole_prop,1,2,2,0.9150507848568791
06121KW,dipole_prop,1,2,4,0.0036934441366574334
06121KW,dipole_prop,1,2,5,0.08125577100646353
MJ01077,dipole_prop,1,2,2,1.0
MJ01077,dipole_prop,1,2,4,0.0
MJ01077,dipole_prop,1,2,5,0.0
MJ01075,dipole_prop,1,2,2,1.0
MJ01075,dipole_prop,1,2,4,0.0
MJ01075,dipole_prop,1,2,5,0.0
MJ01066,dipole_prop,1,2,2,1.0
MJ01066,dipole_prop,1,2,4,0.0
MJ01066,dipole_prop,1,2,5,0.0
PR10004,dipole_prop,1,2,2,1.0
PR10004,dipole_prop,1,2,4,0.0
PR10004,dipole_prop,1,2,5,0.0
08141KW,dipole_prop,1,2,2,1.0
08141KW,dipole_prop,1,2,4,0.0
08141KW,dipole_prop,1,2,5,0.0
07099KW,dipole_prop,1,2,2,1.0
07099KW,dipole_prop,1,2,4,0.0
07099KW,dipole_prop,1,2,5,0.0
AF01009,dipole_prop,1,2,2,0.9990917347865577
AF01009,dipole_prop,1,2,4,0.0009082652134423251
AF01009,dipole_prop,1,2,5,0.0
RT09068,dipole_prop,1,2,2,1.0
RT09068,dipole_prop,1,2,4,0.0
RT09068,dipole_prop,1,2,5,0.0
07004KW,dipole_prop,1,2,2,1.0
07004KW,dipole_prop,1,2,4,0.0
07004KW,dipole_prop,1,2,5,0.0
08116KW,dipole_prop,1,2,2,1.0
08116KW,dipole_prop,1,2,4,0.0
08116KW,dipole_prop,1,2,5,0.0
08118KW,dipole_prop,1,2,2,1.0
08118KW,dipole_prop,1,2,4,0.0
08118KW,dipole_prop,1,2,5,0.0
08131KW,dipole_prop,1,2,2,1.0
08131KW,dipole_prop,1,2,4,0.0
08131KW,dipole_prop,1,2,5,0.0
09079KW,dipole_prop,1,2,2,1.0
09079KW,dipole_prop,1,2,4,0.0
09079KW,dipole_prop,1,2,5,0.0
Acid4,dipole_prop,1,2,2,0.9966747279322854
Acid4,dipole_prop,1,2,4,0.0
Acid4,dipole_prop,1,2,5,0.0033252720677146314
6CB,dipole_prop,1,2,2,1.0
6CB,dipole_prop,1,2,4,0.0
6CB,dipole_prop,1,2,5,0.0
PCH-4,dipole_prop,1,2,2,1.0
PCH-4,dipole_prop,1,2,4,0.0
PCH-4,dipole_prop,1,2,5,0.0
PCH-5,dipole_prop,1,2,2,1.0
PCH-5,dipole_prop,1,2,4,0.0
PCH-5,dipole_prop,1,2,5,0.0
PCH-7,dipole_prop,1,2,2,1.0
PCH-7,dipole_prop,1,2,4,0.0
PCH-7,dipole_prop,1,2,5,0.0
Comp89,dipole_prop,1,2,2,1.0
Comp89,dipole_prop,1,2,4,0.0
Comp89,dipole_prop,1,2,5,0.0
Comp120,dipole_prop,1,2,2,1.0
Comp120,dipole_prop,1,2,4,0.0
Comp120,dipole_prop,1,2,5,0.0
EC5F,dipole_prop,1,5,2,0.1225838758137206
EC5F,dipole_prop,1,5,4,0.6471707561342014
EC5F,dipole_prop,1,5,5,0.23024536805207813
1O(M-O2)PEPEBNO2,dipole_prop,1,4,2,0.8736874613959235
1O(M-O2)PEPEBNO2,dipole_prop,1,4,4,0.027794935145151328
1O(M-O2)PEPEBNO2,dipole_prop,1,4,5,0.09851760345892527
RM734-3,dipole_prop,1,2,2,1.0
RM734-3,dipole_prop,1,2,4,0.0
RM734-3,dipole_prop,1,2,5,0.0
6-2,dipole_prop,1,2,2,0.6397058823529412
6-2,dipole_prop,1,2,4,0.3602941176470589
6-2,dipole_prop,1,2,5,0.0
6-5,dipole_prop,1,2,2,0.8567631423508565
6-5,dipole_prop,1,2,4,0.10100413467217956
6-5,dipole_prop,1,2,5,0.04223272297696397
6-6,dipole_prop,1,2,2,0.08582497268302375
6-6,dipole_prop,1,2,4,0.6508393761795968
6-6,dipole_prop,1,2,5,0.26333565113737956
UUQU-4-N,dipole_prop,1,2,2,0.13455596531446226
UUQU-4-N,dipole_prop,1,2,4,0.6297219176716835
UUQU-4-N,dipole_prop,1,2,5,0.23572211701385432
NT3-3,dipole_prop,1,4,2,0.09610495271026137
NT3-3,dipole_prop,1,4,4,0.24163530967151428
NT3-3,dipole_prop,1,4,5,0.6622597376182243
NT3-4,dipole_prop,1,4,2,0.8792085362063607
NT3-4,dipole_prop,1,4,4,0.08204703201077386
NT3-4,dipole_prop,1,4,5,0.03874443178286543
NT3-7,dipole_prop,1,4,2,0.6272055199605717
NT3-7,dipole_prop,1,4,4,0.37171020206998523
NT3-7,dipole_prop,1,4,5,0.0010842779694430753
NT3F-1,dipole_prop,1,4,2,0.033088235294117654
NT3F-1,dipole_prop,1,4,4,0.3165739268680446
NT3F-1,dipole_prop,1,4,5,0.6503378378378379
NT3F-4,dipole_prop,1,2,2,0.9558955895589559
NT3F-4,dipole_prop,1,2,4,0.04410441044104411
NT3F-4,dipole_prop,1,2,5,0.0
EST-1,dipole_prop,1,4,2,1.0
EST-1,dipole_prop,1,4,4,0.0
EST-1,dipole_prop,1,4,5,0.0
S3,dipole_prop,1,4,2,0.030523690773067335
S3,dipole_prop,1,4,4,0.8860847880299252
S3,dipole_prop,1,4,5,0.08339152119700749
O5,dipole_prop,1,4,2,0.9972776769509981
O5,dipole_prop,1,4,4,0.0027223230490018148
O5,dipole_prop,1,4,5,0.0
SCUT1a,dipole_prop,1,5,2,0.12328767123287673
SCUT1a,dipole_prop,1,5,4,0.6111165861831084
SCUT1a,dipole_prop,1,5,5,0.26559574258401497
SCUT22b,dipole_prop,1,5,2,0.22862725940400588
SCUT22b,dipole_prop,1,5,4,0.7606253053248657
SCUT22b,dipole_prop,1,5,5,0.010747435271128482
M-0-0,dipole_prop,1,4,2,0.05444478621962473
M-0-0,dipole_prop,1,4,4,0.3229775453706552
M-0-0,dipole_prop,1,4,5,0.6225776684097201
M-1-0,dipole_prop,1,5,2,0.7123328380386329
M-1-0,dipole_prop,1,5,4,0.2843982169390787
M-1-0,dipole_prop,1,5,5,0.0032689450222882616
M-2-0,dipole_prop,1,5,2,0.22848694942903752
M-2-0,dipole_prop,1,5,4,0.7423531810766721
M-2-0,dipole_prop,1,5,5,0.029159869494290374
M-2-1,dipole_prop,1,4,2,0.11150758251561106
M-2-1,dipole_prop,1,4,4,0.8884924174843889
M-2-1,dipole_prop,1,4,5,0.0
Li-2a,dipole_prop,1,4,2,0.8700331958555477
Li-2a,dipole_prop,1,4,4,0.12222110451664821
Li-2a,dipole_prop,1,4,5,0.007745699627804043
Li-4a,dipole_prop,1,2,2,0.7714543812104788
Li-4a,dipole_prop,1,2,4,0.22854561878952123
Li-4a,dipole_prop,1,2,5,0.0
Li-5c,dipole_prop,1,4,2,0.6683750376846548
Li-5c,dipole_prop,1,4,4,0.3283087126921917
Li-5c,dipole_prop,1,4,5,0.0033162496231534514
Li-11a,dipole_prop,1,2,2,0.038305634373733286
Li-11a,dipole_prop,1,2,4,0.7287190920145926
Li-11a,dipole_prop,1,2,5,0.2329752736116741
Li-19,dipole_prop,1,2,2,1.0
Li-19,dipole_prop,1,2,4,0.0
Li-19,dipole_prop,1,2,5,0.0
Li-22,dipole_prop,1,2,2,0.8574372056514914
Li-22,dipole_prop,1,2,4,0.14040423861852433
Li-22,dipole_prop,1,2,5,0.0021585557299843017
06119KW,dipole_prop,2,2,2,0.3763888888888889
06119KW,dipole_prop,2,2,4,0.6236111111111112
06119KW,dipole_prop,2,2,5,0.0
MJ01056,dipole_prop,2,2,2,1.0
MJ01056,dipole_prop,2,2,4,0.0
MJ01056,dipole_prop,2,2,5,0.0
MJ01071,dipole_prop,2,2,2,1.0
MJ01071,dipole_prop,2,2,4,0.0
MJ01071,dipole_prop,2,2,5,0.0
MJ01073,dipole_prop,2,2,2,1.0
MJ01073,dipole_prop,2,2,4,0.0
MJ01073,dipole_prop,2,2,5,0.0
RT08049,dipole_prop,2,2,2,0.7760115606936416
RT08049,dipole_prop,2,2,4,0.22398843930635837
RT08049,dipole_prop,2,2,5,0.0
07080KW,dipole_prop,2,2,2,0.7911301859799713
07080KW,dipole_prop,2,2,4,0.0
07080KW,dipole_prop,2,2,5,0.2088698140200286
08119KW,dipole_prop,2,2,2,0.3763888888888889
08119KW,dipole_prop,2,2,4,0.6236111111111112
08119KW,dipole_prop,2,2,5,0.0
08123KW,dipole_prop,2,2,2,0.9985734664764623
